universe_id,E,I,topological_defects,magnetic_field_strength,string_tension,string_density,wall_energy_density,wall_probability,pbh_mass_fraction,anomaly_seed
156,0.766,0.27508876083275347,False,9.633000069820702e-10,1.0264e-06,0.09550177521665508,1.0198e-12,0.04550177521665508,9.907088760832753e-07,42
145,0.766,0.28270813889468815,False,9.656612522434639e-10,1.0264e-06,0.09565416277789376,1.0198e-12,0.04565416277789377,9.91470813889469e-07,42
101,0.7597847135635613,0.3808346338499088,False,9.930741068444562e-10,1.0239138854254245e-06,0.09761669267699818,1.0179354140690683e-12,0.047616692676998175,1.000040406097703e-06,42
127,0.7541109430254539,0.3509711582079371,False,9.811372053000042e-10,1.0216443772101815e-06,0.09701942316415875,1.016233282907636e-12,0.04701942316415875,9.959193044258844e-07,42
141,0.766,0.23812942992702624,False,9.518463103343856e-10,1.0264e-06,0.09476258859854053,1.0198e-12,0.04476258859854053,9.870129429927027e-07,42
139,0.7483373606871465,0.2842293532517247,False,9.578730187824552e-10,1.0193349442748586e-06,0.09568458706503451,1.0145012082061439e-12,0.0456845870650345,9.880904074626017e-07,42
42,0.766,0.28813946159370163,False,9.67344419147888e-10,1.0264e-06,0.09576278923187403,1.0198e-12,0.04576278923187404,9.920139461593703e-07,42
15,0.72,0.42131749120136275,False,9.86159199834013e-10,1.008e-06,0.09842634982402726,1.006e-12,0.04842634982402726,9.961317491201361e-07,42
126,0.72,0.3475214393879888,False,9.637989961345606e-10,1.008e-06,0.09695042878775978,1.006e-12,0.046950428787759776,9.887521439387987e-07,42
65,0.7534323081201929,0.24941318735078527,False,9.495316954976827e-10,1.0213729232480773e-06,0.0949882637470157,1.0160296924360578e-12,0.04498826374701571,9.856277803591169e-07,42
