universe_id,E,I,age_Gyr,vacuum_energy,entanglement_entropy,holographic_entropy,magnetic_field_strength,string_density,wall_probability,pbh_mass_fraction,topological_defects
156,0.727885053322306,0.2359110805942477,305391684.58036417,0.7086624156039574,0.16352110037675283,32516.743803442667,9.336112307995085e-10,0.09471822161188496,0.04471822161188496,9.791681187238858e-07,False
145,0.72,0.18762978644325592,305391684.58036417,0.6975093446239145,0.1300550574622075,32261.938043865663,9.153518252923065e-10,0.09375259572886513,0.04375259572886512,9.727629786443255e-07,False
101,0.7322578072232595,0.0800582970027714,305391684.58036417,0.7015072481634244,0.05549218284790171,32077.364008523593,8.881144329374173e-10,0.09160116594005543,0.04160116594005543,9.64457391144929e-07,False
127,0.766,0.33259892171987304,305391684.58036417,0.7531770774037423,0.23054000484740794,33323.4384029306,9.811224058409888e-10,0.09665197843439746,0.046651978434397466,9.964598921719874e-07,False
141,0.72,0.22007985921690443,305391684.58036417,0.6998457498636171,0.152547733914227,32364.70014450025,9.25184197342722e-10,0.0944015971843381,0.04440159718433809,9.760079859216903e-07,False
139,0.766,0.35367032805846305,305391684.58036417,0.7547911471292782,0.24514559074143458,33391.39533385445,9.876524346653177e-10,0.09707340656116926,0.04707340656116926,9.985670328058463e-07,False
42,0.766,0.17779340122748186,305391684.58036417,0.7413189745340251,0.12323699478299216,32824.178510463666,9.331481750403967e-10,0.09355586802454964,0.04355586802454964,9.809793401227482e-07,False
15,0.7551756584798418,0.15616061925973165,305391684.58036417,0.7292097454036585,0.10824229295437808,32614.59027013261,9.215902803812938e-10,0.09312321238519464,0.043123212385194634,9.766511936219416e-07,False
126,0.766,0.16540937662802951,305391684.58036417,0.7403703582497071,0.11465304304789677,32784.23906405269,9.293103658170264e-10,0.0933081875325606,0.04330818753256059,9.79740937662803e-07,False
65,0.7651761489184182,0.15770294302618845,305391684.58036417,0.7389843945342853,0.10931135032460822,32748.731182922973,9.265525167731166e-10,0.09315405886052378,0.04315405886052377,9.788055240863023e-07,False
