group_name,universe_count,lockin_count,lockin_rate,ci_lower,ci_upper
Finely-Tuned,25,8,0.32,0.1720498751689115,0.5159008626542329
Coarsely-Tuned,150,24,0.16,0.10993931727556672,0.227041057343522
