universe_id,seed,complexity_score,life_score,lockin_score,goldilocks_score,stability_score,stable,lock_epoch,X,I
173,4071591939,86.99733921162833,94.2960088174425,72.39999999999999,88.592017634885,100.0,1,138,20.37097967952741,0.2806099821959671
43,2978949618,85.60562350028488,94.30843525042734,68.19999999999999,88.61687050085467,100.0,1,159,21.11613900290008,0.3731188334944488
7,2411904459,78.6629583516672,95.49443752750082,44.99999999999999,90.98887505500163,100.0,1,275,21.038585905923853,0.3176992169957698
39,3524503246,77.74516658650394,95.71774987975593,41.800000000000004,91.43549975951184,100.0,1,291,20.463947816783225,0.28577487871017904
23,4016596747,77.00469709211795,89.40704563817692,52.2,78.81409127635386,100.0,1,239,20.05128869504602,0.2705257885801075
158,638203114,73.0667676779487,93.70015151692306,31.799999999999994,87.40030303384611,100.0,1,341,21.15591488553154,0.3590640504264843
41,4005568792,71.90545114394742,74.75817671592114,66.19999999999999,49.516353431842276,100.0,1,169,19.093394115852583,0.20963300643625463
31,3048405201,69.40354168341115,88.30531252511673,31.599999999999994,76.61062505023345,100.0,1,342,19.979245987699862,0.25884699931665894
151,1330442574,67.36657990467417,75.84986985701124,50.4,51.6997397140225,100.0,1,248,19.16478030597707,0.21359890588761513
123,2837364902,67.26772781554355,79.50159172331533,42.800000000000004,59.00318344663067,100.0,1,286,19.403567655295245,0.22686486973862463
