E,kl_divergence,shannon,renyi,mutual_info,composite,kl_shannon,entanglement,fisher,fisher_kl_fusion,jensen_shannon
0.72,0.6396011224014276,0.8105181521885331,0.656939675027114,0.682330379848204,0.5184083198665169,0.7149871447824225,0.6988810043199338,0.3673169900071496,0.5034590562042887,0.21693295845113833
0.720938775510204,0.37207899751631685,0.8084342143125869,0.6535658788712096,0.4811678017153843,0.3008013920193186,0.5096112250252646,0.4704075031796264,0.37995486123967426,0.3760169293779956,0.3379578144281688
0.7218775510204082,0.20776211693560664,0.8689503329310838,0.7550746811010414,0.37305917093447594,0.18053496068166217,0.3353448001906442,0.658001222896558,0.18639431585166003,0.19707821639363332,0.472333848548814
0.7228163265306122,0.40134689768393916,0.8416948177286472,0.7084501661912606,0.5114338776951162,0.3378116038920412,0.5435241628715829,0.5529608565978512,0.28921333068197297,0.34528011418295607,0.17615183584811137
0.7237551020408163,0.29488627969544473,0.8333670296078594,0.6945006060374267,0.42950646717354835,0.24574850298190518,0.43562646961550644,0.6684156079099055,0.12617845321991622,0.21053236645768048,0.2300563920937007
0.7246938775510204,0.5467262302119307,0.6704660786033473,0.44952476255774987,0.5776611923097849,0.3665613916397841,0.6023064539350679,0.7804610534030073,0.22096324007170953,0.3838447351418201,0.35182765795858284
0.7256326530612245,0.7059364169486022,0.7645033384834916,0.5844653545524041,0.7205781473323245,0.5396907475142805,0.7340535312930117,0.6772708702110116,0.3527990940566248,0.5293677555026135,0.5218177858172196
0.7265714285714285,0.7021539355002858,0.838834975558316,0.7036441162199206,0.7363241955147934,0.5889912793235577,0.7644328587918814,0.7003440681570617,0.2968514199859856,0.4995026777431357,0.1564207509750459
0.7275102040816326,0.5272389216694654,0.7652616915018939,0.5856254564803399,0.5867446141275726,0.4034757490224097,0.6243335514285236,0.6876717653779246,0.3973734337170393,0.46230617769325233,0.22513443299649133
0.7284489795918367,0.637274437902576,0.9455511597553381,0.8940669957146649,0.7143436183657664,0.6025755838412119,0.7613922654938547,0.8230210827779001,0.4390484907587065,0.5381614643306413,0.19114280282195248
0.7293877551020408,0.4754796542566803,0.9103092522340985,0.8286629347030037,0.5841870537510349,0.43283352851892637,0.6246745467388491,0.7928576329594332,0.32148392183389085,0.39848178804528556,0.37756707291486913
0.7303265306122448,0.31704444881374666,0.7261960470611293,0.5273606987672099,0.41933234837559236,0.23023642547121737,0.441387055777849,0.477247928485684,0.42597351178822135,0.371508980300984,0.33945175807656813
0.731265306122449,0.37576905524844234,0.8484143209735505,0.7198068600330108,0.4939303716797194,0.3188078478514798,0.5208498237173698,0.8331162390342663,0.09966334315071876,0.23771619919958054,0.23469461008777479
0.732204081632653,0.1158409582608679,0.95900394727025,0.9196885708799204,0.3266317055132134,0.11109193622774059,0.20671249527455546,0.7004183540125362,0.4390855844702917,0.2774632713655798,0.1355666166098237
0.7331428571428571,0.273200906719753,0.8868937703398841,0.7865805598676952,0.42662412262478583,0.24230018222095673,0.4177248409329625,0.5232389428736437,0.14503197046108376,0.2091164385904184,0.3018794358456544
