universe_id,E,I,lock_epoch,scale_arcmin,lon,lat,z_score,temp_uK,category,cold_flag
147,0.72,0.10123085630884886,134,180,108.63281249999999,30.69158768492234,-3.6118376955694242,-117.52397884553184,lock_in,True
147,0.72,0.10123085630884886,134,180,114.9609375,25.282603043311994,-3.5653544389921557,-116.01148164163774,lock_in,True
147,0.72,0.10123085630884886,134,360,115.6640625,24.62431835216408,-3.440349605934186,-99.13225840118929,lock_in,True
147,0.72,0.10123085630884886,134,180,270.3515625,-27.27961273597809,-3.28363803405105,-106.84484173429331,lock_in,True
147,0.72,0.10123085630884886,134,360,109.3359375,31.38816646434855,-3.26240338608526,-94.00481475714287,lock_in,True
173,0.766,0.2806099821959671,138,180,263.3203125,-22.669609871750396,-3.4329460677013564,-124.56366331681569,lock_in,True
173,0.766,0.2806099821959671,138,180,141.6796875,8.385538647081319,-3.268292046828152,-118.5892297796192,lock_in,True
173,0.766,0.2806099821959671,138,360,264.0234375,-22.669609871750396,-3.053354131759898,-99.9703793587178,lock_in,True
173,0.766,0.2806099821959671,138,180,97.734375,21.702769403954846,-2.912807818345037,-105.69056574863608,lock_in,True
173,0.766,0.2806099821959671,138,180,270.3813559322034,-45.783967161775024,-2.9030238922476803,-105.33555822503293,lock_in,True
174,0.7265421251598223,0.20542089546051748,148,180,329.1532258064516,43.406858485936986,-3.0047425841666855,-100.69896839866708,lock_in,True
174,0.7265421251598223,0.20542089546051748,148,180,110.39062499999999,-24.296477994805656,-2.981415769002837,-99.91720863906019,lock_in,True
174,0.7265421251598223,0.20542089546051748,148,180,95.625,-34.590574976176626,-2.909382467139642,-97.50313126275658,lock_in,True
174,0.7265421251598223,0.20542089546051748,148,180,329.76562499999994,27.6158819838447,-2.8830251725642517,-96.6198099809436,lock_in,True
174,0.7265421251598223,0.20542089546051748,148,180,325.8984375,33.51005606625301,-2.8695904316365444,-96.16956678382243,lock_in,True
