label,acc,auc,cm
E,0.5816,0.629333330736435,"{'tp': 851, 'fp': 498, 'tn': 603, 'fn': 548}"
EIX,0.5816,0.629333330736435,"{'tp': 851, 'fp': 498, 'tn': 603, 'fn': 548}"
