universe_id,E,I,lock_epoch,ell,axis_lon,axis_lat,peak_value,category,alignment_angle_deg,p_value,aoe_flag
173,0.7514399334637318,0.4187458530203262,129,2,97.734375,19.15501007356373,41.99396589350877,lock_in,158.44625803858133,1.0,False
173,0.7514399334637318,0.4187458530203262,129,3,286.5234375,0.5968418305070173,30.542641519016048,lock_in,158.44625803858133,1.0,False
98,0.7629847257852433,0.3573003258875962,134,2,322.6056338028169,63.823657621837775,39.279769493755715,lock_in,85.2107582179979,0.0,False
98,0.7629847257852433,0.3573003258875962,134,3,79.1015625,17.582776008425398,17.91091910278103,lock_in,85.2107582179979,0.0,False
0,0.766,0.48769556433029726,138,2,350.5462184873949,45.38920300540005,-16.634837473209117,lock_in,78.33679952378114,1.0,False
0,0.766,0.48769556433029726,138,3,221.5677966101695,45.78396716177502,-26.50011694749277,lock_in,78.33679952378114,1.0,False
135,0.766,0.4525189372976689,-1,2,136.08870967741936,43.406858485936986,30.58870966628445,stable,89.7422369259709,1.0,False
135,0.766,0.4525189372976689,-1,3,5.273437499999999,34.95386525718846,-41.58370330162157,stable,89.7422369259709,1.0,False
40,0.7356562033952624,0.4557916726027832,-1,2,108.28125,54.340912303861245,-39.196260763584846,stable,73.6844337926201,1.0,False
40,0.7356562033952624,0.4557916726027832,-1,3,327.80172413793105,46.57184741344958,23.855805310249657,stable,73.6844337926201,1.0,False
48,0.7293165046430841,0.5667740442681891,-1,2,339.9609375,38.68218745348943,29.78375474754655,stable,138.6035359958512,1.0,False
48,0.7293165046430841,0.5667740442681891,-1,3,215.77868852459017,-44.20152985105139,19.988769629965596,stable,138.6035359958512,1.0,False
8,0.7508361526811003,0.27223586011404444,-1,2,216.5625,12.32998415024295,37.4071164543437,unstable,119.71113487077805,1.0,False
8,0.7508361526811003,0.27223586011404444,-1,3,59.71153846153846,-70.90666664467562,15.914778556632063,unstable,119.71113487077805,1.0,False
45,0.72,0.5492648511535867,-1,2,292.1484375,41.81031489577859,-44.66729614326416,unstable,112.87719527810005,1.0,False
45,0.72,0.5492648511535867,-1,3,149.0625,16.024100308155866,34.875664812956,unstable,112.87719527810005,1.0,False
60,0.766,0.339514066515584,-1,2,359.6484375,30.000000000000007,28.200739918291966,unstable,62.62212016079501,0.0,False
