universe_id,E,I,age_Gyr,vacuum_energy,entanglement_entropy,holographic_entropy,magnetic_field_strength,string_density,wall_probability,pbh_mass_fraction,topological_defects
156,0.7208552472984333,0.5144222444827278,305391684.58036417,0.7218948823597529,0.3565703283805216,33308.16283563526,1.014799413915328e-09,0.10028844488965456,0.05028844488965456,1.0056132739079595e-06,False
145,0.7645101638654518,0.3516161532089773,305391684.58036417,0.7531660679629327,0.24372174523613638,33365.137406338916,9.86304087954698e-10,0.09703232306417955,0.04703232306417955,9.980636480939881e-07,False
101,0.766,0.3589030891072207,305391684.58036417,0.7551919766256131,0.24877266430892483,33408.27139686692,9.892740673143277e-10,0.09717806178214441,0.04717806178214442,9.99090308910722e-07,False
127,0.7484255034140967,0.4697117126537666,305391684.58036417,0.7461586507436312,0.3255793493019415,33531.77099208367,1.014906256668835e-09,0.09939423425307534,0.049394234253075334,1.006656271948196e-06,False
141,0.72,0.2811395982129257,305391684.58036417,0.7042420510713306,0.1948711198450453,32558.062639777178,9.436852982585164e-10,0.09562279196425852,0.045622791964258516,9.821139598212925e-07,False
139,0.7270183604909377,0.5173296043878584,305391684.58036417,0.7282782545479395,0.35858555670163594,33399.2174590739,1.0187782941866038e-09,0.10034659208775716,0.05034659208775717,1.0071366325369735e-06,False
42,0.7341504177368239,0.43423926939587787,305391684.58036417,0.7293225909524544,0.30099172527016327,33229.44067438555,9.97010126224054e-10,0.09868478538791757,0.04868478538791756,1.0002540104869523e-06,False
15,0.766,0.4373092051127908,305391684.58036417,0.7611978851116398,0.30311964255684176,33661.13724377717,1.013572122664454e-09,0.09874618410225583,0.04874618410225582,1.006930920511279e-06,False
126,0.766,0.3521967390011052,305391684.58036417,0.7546782702074847,0.24412417664102298,33386.6428940708,9.871957694164425e-10,0.0970439347800221,0.04704393478002211,9.984196739001105e-07,False
65,0.7508964211848034,0.35948189800732466,305391684.58036417,0.7403449671950053,0.24917386406611491,33211.21964929307,9.822199997191328e-10,0.0971896379601465,0.0471896379601465,9.96127474037693e-07,False
