universe_id,E,I,lock_epoch,scale_arcmin,lon,lat,z_score,temp_uK,category,cold_flag
173,0.7514399334637318,0.4187458530203262,129,180,217.6171875,31.38816646434855,-2.849995772345982,-99.47176842851204,lock_in,True
173,0.7514399334637318,0.4187458530203262,129,180,352.265625,5.079715792733481,-2.821806000314192,-98.48787603961074,lock_in,True
173,0.7514399334637318,0.4187458530203262,129,180,286.92660550458714,49.31283855921746,-2.791927084818296,-97.44502838862995,lock_in,True
173,0.7514399334637318,0.4187458530203262,129,360,217.6171875,30.000000000000007,-2.7886751169138617,-87.26973995482801,lock_in,True
173,0.7514399334637318,0.4187458530203262,129,180,202.1484375,26.61009781073391,-2.683855001200219,-93.67304682011574,lock_in,True
98,0.7629847257852433,0.3573003258875962,134,180,36.2109375,19.47122063449069,-2.938926738774249,-100.44706773764125,lock_in,True
98,0.7629847257852433,0.3573003258875962,134,180,268.2421875,1.7907846593289491,-2.7318395569538483,-93.36921921147986,lock_in,True
98,0.7629847257852433,0.3573003258875962,134,180,268.9453125,4.181528273111482,-2.7080348264014966,-92.55561850681745,lock_in,True
98,0.7629847257852433,0.3573003258875962,134,180,232.03124999999997,-32.44286613851179,-2.6404798783221635,-90.24671804520948,lock_in,True
98,0.7629847257852433,0.3573003258875962,134,360,268.59375,2.686724185691588,-2.596459102063398,-78.96635019478877,lock_in,True
0,0.766,0.48769556433029726,138,180,200.33653846153845,-51.25580694880492,-3.4219587582412605,-106.8723711832552,lock_in,True
0,0.766,0.48769556433029726,138,180,189.26470588235296,-52.02972741646417,-3.3481280129821385,-104.56653407107187,lock_in,True
0,0.766,0.48769556433029726,138,360,198.7864077669903,-51.64299443168207,-3.33675342126103,-90.44002054105394,lock_in,True
0,0.766,0.48769556433029726,138,180,182.14285714285714,66.81675324303833,-2.9477547469093324,-92.06231875539808,lock_in,True
0,0.766,0.48769556433029726,138,180,221.13281249999997,34.95386525718846,-2.864789875266615,-89.47121014109534,lock_in,True
135,0.766,0.4525189372976689,-1,180,342.25961538461536,51.25580694880489,-3.5054784148725586,-126.63833644072615,stable,True
135,0.766,0.4525189372976689,-1,180,345.234375,36.05358859962301,-3.260971213283189,-117.80530877388102,stable,True
135,0.766,0.4525189372976689,-1,180,339.14634146341456,43.80448796297494,-3.2555348253228815,-117.60891470062283,stable,True
135,0.766,0.4525189372976689,-1,180,4.921875,22.993394314297802,-3.1046931044207655,-112.15963105833339,stable,True
135,0.766,0.4525189372976689,-1,180,124.10156249999997,7.180755781458288,-3.087028466811294,-111.5214812136049,stable,True
40,0.7356562033952624,0.4557916726027832,-1,180,309.375,-41.41118863809925,-3.345125393384549,-120.88891143174597,stable,True
