feature,importance_classification,importance_regression
abs_E_minus_I,0.15625409595181267,0.19962490321904655
I,0.14374424531035532,0.19484002746754675
E_times_I,0.14595203026943476,0.1645732777394991
X,0.13102999024235656,0.12534053417444765
logX,0.12702430648298635,0.11955687426418615
E_plus_I,0.13512246062250982,0.10461136524136756
E,0.1608728711205444,0.09145301789390631
