universe_id,seed,complexity_score,life_score,lockin_score,goldilocks_score,stability_score,stable,lock_epoch,X,I
35,2599046780,88.49686615456464,97.34529923184695,70.8,94.69059846369392,100.0,1,146,20.40558944297039,0.28253274683168805
53,3238173263,85.90734899237555,98.66102348856333,60.4,97.32204697712666,100.0,1,198,20.267116571814103,0.3259509206563392
85,2511298603,85.66697985422645,92.3004697813397,72.39999999999999,84.60093956267941,100.0,1,138,19.31586255981808,0.22199236443433765
141,2373212217,84.78325939131622,93.67488908697433,67.0,87.34977817394866,100.0,1,165,19.46051276783266,0.2811395982129257
30,2915286583,83.74161633892501,93.81242450838752,63.6,87.62484901677503,100.0,1,182,20.7774054248493,0.30318919026940533
109,385421500,82.78417707599543,94.77626561399315,58.80000000000001,89.5525312279863,100.0,1,206,19.576426698234044,0.25978772171798564
86,3954557145,82.60195686014329,94.50293529021494,58.80000000000001,89.00587058042986,100.0,1,206,20.70473289484469,0.3041124376110895
115,2558119143,82.20827412059604,89.51241118089406,67.6,79.02482236178813,100.0,1,162,21.22995860111613,0.32833103339534053
98,1380987004,81.15386114950184,85.13079172425275,73.2,70.26158344850549,100.0,1,134,21.6911003816816,0.3573003258875962
110,813016628,80.9472234762963,99.62083521444444,43.60000000000001,99.24167042888888,100.0,1,282,20.1661015720725,0.26922786511513874
