group_name,universe_count,lockin_count,lockin_rate,ci_lower,ci_upper
Finely-Tuned,34,24,0.7058823529411765,0.5383077411853625,0.8316554739006805
Coarsely-Tuned,141,97,0.6879432624113475,0.6073365009813823,0.7585804731475972
