universe_id,E,I,topological_defects,magnetic_field_strength,string_tension,string_density,wall_energy_density,wall_probability,pbh_mass_fraction,anomaly_seed
156,0.7208552472984333,0.5144222444827278,False,1.014799413915328e-09,1.0083420989193733e-06,0.10028844488965456,1.0062565741895298e-12,0.05028844488965456,1.0056132739079595e-06,42
145,0.7645101638654518,0.3516161532089773,False,9.86304087954698e-10,1.0258040655461806e-06,0.09703232306417955,1.0193530491596356e-12,0.04703232306417955,9.980636480939881e-07,42
101,0.766,0.3589030891072207,False,9.892740673143277e-10,1.0264e-06,0.09717806178214441,1.0198e-12,0.04717806178214442,9.99090308910722e-07,42
127,0.7484255034140967,0.4697117126537666,False,1.014906256668835e-09,1.0193702013656386e-06,0.09939423425307534,1.014527651024229e-12,0.049394234253075334,1.006656271948196e-06,42
141,0.72,0.2811395982129257,False,9.436852982585164e-10,1.008e-06,0.09562279196425852,1.006e-12,0.045622791964258516,9.821139598212925e-07,42
139,0.7270183604909377,0.5173296043878584,False,1.0187782941866038e-09,1.0108073441963751e-06,0.10034659208775716,1.0081055081472814e-12,0.05034659208775717,1.0071366325369735e-06,42
42,0.7341504177368239,0.43423926939587787,False,9.97010126224054e-10,1.0136601670947296e-06,0.09868478538791757,1.0102451253210471e-12,0.04868478538791756,1.0002540104869523e-06,42
15,0.766,0.4373092051127908,False,1.013572122664454e-09,1.0264e-06,0.09874618410225583,1.0198e-12,0.04874618410225582,1.006930920511279e-06,42
126,0.766,0.3521967390011052,False,9.871957694164425e-10,1.0264e-06,0.0970439347800221,1.0198e-12,0.04704393478002211,9.984196739001105e-07,42
65,0.7508964211848034,0.35948189800732466,False,9.822199997191328e-10,1.0203585684739213e-06,0.0971896379601465,1.015268926355441e-12,0.0471896379601465,9.96127474037693e-07,42
