label,acc,auc,cm
E,0.5432,0.5934449924081306,"{'tp': 636, 'fp': 559, 'tn': 722, 'fn': 583}"
EIX,0.6028,0.6497996527784449,"{'tp': 699, 'fp': 473, 'tn': 808, 'fn': 520}"
