universe_id,E,I,lock_epoch,q_lon_deg,q_lat_deg,q_T_peak,o_lon_deg,o_lat_deg,o_T_peak,angle_deg
211,19.334495331925247,0.26738057405861454,324,218.3203125,19.23400548037685,23.922537510899172,155.0,-82.5938166806367,-28.236790384385813,105.78521017407334
315,21.10009294065773,0.3481627542959138,329,68.466796875,34.77202020380473,5.927850503089386,160.6640625,8.762774812548798,13.75088236428558,86.80367230126265
355,31.70229024294229,0.4687967096197216,305,270.6617647058823,83.78374275324825,-24.2821691199463,277.03124999999994,30.258773684841763,-19.05570514791281,53.56609550807587
574,30.602459285266725,0.36584950421871165,307,264.7265625,25.36513819189787,-6.893512842555432,80.0381679389313,-53.47602978177207,15.576942091691867,151.67107092217185
1350,31.3770535355849,0.4222215567765048,305,238.18471337579615,-45.8825717294026,5.6574007354293565,292.412109375,29.313198964168343,3.7548463308285154,89.8079100707871
1350,31.3770535355849,0.4222215567765048,305,162.50000000000003,47.945493601598194,-21.48109241932775,19.599609375,15.404093698725475,-12.210422236988727,108.53193689051086
1992,31.78174305236132,0.4818487879923348,305,274.9297752808989,57.01854862136609,-11.668315585641386,178.06640625,40.718544546292016,-15.856523397257272,60.13809372167724
3235,58.62302964237256,0.4208453795653274,307,81.31578947368422,63.72984109987911,-9.729985899663136,271.0546875,3.209645264124717,-17.640010604919897,112.66451946308405
3235,58.62302964237256,0.4208453795653274,307,86.484375,4.40596999379629,-4.5091185304466865,337.19730941704034,69.51540362797947,8.37893541568872,92.48076910235905
5646,31.2004325409196,0.4352243260382827,305,350.15625,21.622496096831853,21.3062294313244,153.984375,27.53171840614455,18.200397943305873,128.41887983579116
9960,44.49649266049255,0.3984029961513447,305,140.00976562499997,9.442777526802814,-12.84358430907448,339.38709677419354,-75.80123395015602,-14.588139768603922,112.7870445170387
9960,44.49649266049255,0.3984029961513447,305,280.48986486486484,62.696660020273754,-7.025012499063221,37.08984374999999,23.724779603411946,7.907798847707675,80.24189849841657
