slice,eps,n,k,p,ci_lo,ci_hi
|E−I| > 0.001,0.001,10000,2078,0.2078,0.19996057954025073,0.21586383735175604
|E−I| ≤ 0.001,0.001,0,0,0.0,0.0,0.0
