X,stable,iteration,iteration_name
28.334538115198136,1.0,1,exploration
28.01499853181228,1.0,1,exploration
27.675282639459795,1.0,1,exploration
27.932064302512618,1.0,1,exploration
24.661867210779782,1.0,1,exploration
27.64231960006418,1.0,1,exploration
27.06956074250523,1.0,1,exploration
30.626597690306554,1.0,1,exploration
29.104736470948257,1.0,1,exploration
29.414465108575214,1.0,1,exploration
26.473042084754944,1.0,1,exploration
23.47685194993085,1.0,1,exploration
26.007578573659842,1.0,1,exploration
29.12125031424619,1.0,1,exploration
27.359289863381548,1.0,1,exploration
28.39560927405815,1.0,1,exploration
30.529677448082133,1.0,1,exploration
29.143759522857486,1.0,1,exploration
28.471106878138098,1.0,1,exploration
26.568348708614565,1.0,1,exploration
27.05378203100349,1.0,1,exploration
25.269241964066897,1.0,1,exploration
27.316991968098165,1.0,2,exploitation
24.390137707517816,1.0,2,exploitation
24.405282024380682,1.0,2,exploitation
25.306024101679043,1.0,2,exploitation
25.27905332297653,1.0,2,exploitation
25.417035351422488,1.0,2,exploitation
25.893621987908148,1.0,2,exploitation
24.66404715864924,1.0,2,exploitation
23.610732424978735,1.0,2,exploitation
28.727797581606936,1.0,2,exploitation
28.90955754074417,1.0,2,exploitation
29.65827987576798,1.0,2,exploitation
26.549809567959993,1.0,2,exploitation
22.22439290864547,1.0,2,exploitation
29.839233091558043,1.0,2,exploitation
29.606091265335188,1.0,2,exploitation
26.727622627367474,1.0,2,exploitation
26.778350882691715,1.0,2,exploitation
24.048573462899956,1.0,2,exploitation
24.66176440788296,1.0,2,exploitation
30.45842207905009,1.0,2,exploitation
29.188663817102988,1.0,2,exploitation
29.385142568868737,1.0,2,exploitation
23.337290219967954,1.0,2,exploitation
24.189615103097463,1.0,2,exploitation
22.21636579704954,1.0,2,exploitation
30.415840514154866,1.0,2,exploitation
28.6921479984237,1.0,2,exploitation
30.089415971402822,1.0,2,exploitation
24.4156986719169,1.0,2,exploitation
24.16618696975718,1.0,3,refinement
24.20161045728154,1.0,3,refinement
26.427566582659363,1.0,3,refinement
25.349109432084013,1.0,3,refinement
26.61101783052432,1.0,3,refinement
25.55895146597865,1.0,3,refinement
24.205154607742863,1.0,3,refinement
24.239181181364494,1.0,3,refinement
26.9711940822404,1.0,3,refinement
25.702695550898554,1.0,3,refinement
27.116090097510195,1.0,3,refinement
25.51000045184046,1.0,3,refinement
24.608667085592142,1.0,3,refinement
25.052506880939283,1.0,3,refinement
24.598769945098816,1.0,3,refinement
25.81079391266681,1.0,3,refinement
24.7027004200964,1.0,3,refinement
27.728750920290743,1.0,3,refinement
25.302375803863626,1.0,3,refinement
25.809301920789167,1.0,3,refinement
26.89091373930826,1.0,3,refinement
24.660683907944097,1.0,3,refinement
25.004882991790353,1.0,3,refinement
