a_scale_factor,rho_DE_normalized
1.0,0.6862833615744346
0.9519230769230769,0.6869338738242702
0.908256880733945,0.6872129196556177
0.8684210526315789,0.6876599688873437
0.8319327731092437,0.6883123038577668
0.7983870967741935,0.6891726243350524
0.7674418604651163,0.690199258344129
0.7388059701492538,0.6913175407735213
0.7122302158273381,0.6924447985267523
0.6875,0.6935126908427631
0.6644295302013422,0.6944771919728577
0.6428571428571428,0.6953170484549936
0.6226415094339623,0.6960261338670235
0.6036585365853658,0.696604133046293
0.5857988165680473,0.6970477800649149
0.5689655172413793,0.6973439601699037
0.553072625698324,0.6974663280673143
0.5380434782608696,0.6973773558850455
0.5238095238095238,0.6970366244941527
0.5103092783505154,0.6964135917313745
0.4974874371859296,0.6955003727943957
0.4852941176470588,0.6943192273090575
0.47368421052631576,0.692921455473972
0.4626168224299065,0.6913782604608256
0.452054794520548,0.6897674810788952
0.44196428571428575,0.6881610661129448
0.43231441048034935,0.6866166935062277
0.42307692307692313,0.6851744672017698
0.4142259414225941,0.6838576886602648
0.4057377049180328,0.6826759393909061
0.39759036144578314,0.6816288911467047
0.38976377952755903,0.6807098366425482
0.38223938223938225,0.6799084922495402
0.37499999999999994,0.6792129968644984
0.3680297397769517,0.6786112165226502
0.3613138686131387,0.6780915228850275
0.3548387096774193,0.6776432064330775
0.3485915492957747,0.6772566529502048
0.342560553633218,0.6769233762282029
0.336734693877551,0.6766359697514899
0.3311036789297659,0.6763880175393389
0.32565789473684215,0.6761739886566012
0.32038834951456313,0.6759891295755226
0.31528662420382164,0.6758293620337794
0.3103448275862069,0.6756911900456569
0.3055555555555556,0.6755716173836219
0.3009118541033435,0.67546807554156
0.2964071856287425,0.6753783615143283
0.2920353982300885,0.6753005844248178
0.2877906976744186,0.6752331199381774
0.2836676217765043,0.6751745714266673
0.2796610169491526,0.6751237369289864
0.2757660167130919,0.6750795810520757
0.27197802197802196,0.675041211072146
0.2682926829268293,0.6750078565952463
0.2647058823529412,0.6749788522322001
0.2612137203166227,0.6749536228253517
0.2578125,0.6749316708364838
0.2544987146529563,0.6749125655664155
0.25126903553299496,0.6748959339286597
0.2481203007518797,0.6748814525432437
0.24504950495049502,0.6748688409534317
0.24205378973105132,0.674857855799079
0.2391304347826087,0.6748482858058378
0.2362768496420048,0.6748399474715105
0.23349056603773585,0.6748326813485811
0.23076923076923073,0.6748263488375275
0.228110599078341,0.674820829418193
0.2255125284738041,0.6748160182573152
0.222972972972973,0.6748118241395439
0.22048997772828507,0.6748081676767615
0.21806167400881057,0.6748049797572588
0.2156862745098039,0.6748022002018725
0.21336206896551724,0.6747997765985576
0.21108742004264394,0.6747976632913554
0.20886075949367092,0.6747958205027326
0.20668058455114824,0.6747942135713643
0.20454545454545453,0.6747928122899056
0.20245398773006135,0.6747915903293852
0.20040485829959515,0.6747905247386992
0.19839679358717432,0.6747895955092932
0.19642857142857142,0.6747887851963682
0.1944990176817289,0.6747880785892373
0.19260700389105057,0.6747874624243054
0.19075144508670522,0.6747869251352027
0.18893129770992365,0.6747864566350771
0.18714555765595464,0.6747860481270312
0.1853932584269663,0.6747856919388765
0.18367346938775508,0.674785381379198
0.18198529411764705,0.6747851106118062
0.18032786885245902,0.6747848745464512
0.1787003610108303,0.674784668743386
0.17710196779964224,0.6747844893302298
0.17553191489361702,0.6747843329295228
0.17398945518453426,0.6747841965954485
0.17247386759581881,0.6747840777587149
0.17098445595854922,0.6747839741784671
0.1695205479452055,0.6747838839003311
0.16808149405772496,0.6747838052198393
0.16666666666666666,0.6747837366505106
