ell_dimensionless,C_ell_TT_muK2
0,0.0
1,0.0
2,977.3500075446535
3,923.864271213626
4,870.9258596702769
5,829.9262990106487
6,800.5573807541518
7,780.7741045686246
8,768.0953574601779
9,760.9220889989646
10,758.0305384400075
11,758.0593769095983
12,761.4378834909319
13,766.2219409604538
14,772.366435033685
15,778.8216089452471
16,787.1640476831119
17,797.2038579447033
18,807.8153859224198
19,819.7819912281265
20,831.5115322049476
21,843.6912986855418
22,856.333283875994
23,869.0372983159256
24,882.1126202196205
25,895.6941111120062
26,909.2936166002964
27,923.3143815641242
28,937.5831817327402
29,952.0351313691091
30,966.8804479604598
31,981.5163324718993
32,996.7465297009718
33,1012.0364915781042
34,1027.3605599253992
35,1043.3035805616819
36,1058.96696224374
37,1074.8636224196578
38,1091.0876503192326
39,1107.5433680858193
40,1124.156369050922
41,1140.8462184333127
42,1157.6197914317383
43,1174.492791688796
44,1191.5180652868876
45,1208.7633156029244
46,1226.1972657961235
47,1243.801275834188
48,1261.5468654474057
49,1279.4204112172015
50,1297.4751449058938
51,1315.7680674468288
52,1334.244974664669
53,1352.8331462535882
54,1371.511859888905
55,1390.275249353881
56,1409.234223028137
57,1428.4913752800014
58,1448.006082592614
59,1467.6931503114545
60,1487.5342378032199
61,1507.5380513166353
62,1527.7100629502308
63,1548.0679348382673
64,1568.6144709931514
65,1589.3747590095973
66,1610.3858506696447
67,1631.628662089792
68,1653.06636013556
69,1674.6546817794729
70,1696.3642191624915
71,1718.1728384198188
72,1740.191503130086
73,1762.5310225945143
74,1785.198207835227
75,1808.1924402142404
76,1831.467549874719
77,1854.899162775772
78,1878.4733491895563
79,1902.2356052320872
80,1926.2091411166905
81,1950.4194233694768
82,1974.8786610538634
83,1999.5641780308513
84,2024.4755828302957
85,2049.6050553736122
86,2074.949013740613
87,2100.476259068953
88,2126.1672592499763
89,2152.0321958058535
90,2178.0738222534937
91,2204.301935633202
92,2230.71736406608
93,2257.3354077502886
94,2284.1490825834508
95,2311.173690347609
96,2338.402248682686
97,2365.835204553443
98,2393.480434305967
99,2421.3161019631275
100,2449.357514413477
101,2477.5976946357105
102,2506.0370951158843
103,2534.6613128027034
104,2563.470802504517
105,2592.4585918247935
106,2621.6177094891614
107,2650.941185313206
108,2680.4146218115648
109,2710.0459075504195
110,2739.820646990341
111,2769.7318095691535
112,2799.7795368660923
113,2829.956478597218
114,2860.2552851456767
115,2890.6686074828385
116,2921.1965254378943
117,2951.831690915922
118,2982.5593278167025
119,3013.3795170055587
120,3044.2849111849864
121,3075.2681631705755
122,3106.314497470699
123,3137.4239952723838
124,3168.5893093317677
125,3199.795663922213
126,3231.0431398408386
127,3262.3169609716824
128,3293.609779309585
129,3324.92167494286
130,3356.2378709951636
131,3387.543842721589
132,3418.848359750859
133,3450.1307304798693
134,3481.392548167783
135,3512.620549230498
136,3543.8163266979195
137,3574.9666168795393
138,3606.0655844916996
139,3637.0999660431003
140,3668.0787833307395
141,3698.9813450914
142,3729.801817213957
143,3760.541794506705
144,3791.180587419842
145,3821.7197922754044
146,3852.131292947933
147,3882.4092594515755
148,3912.540434676299
149,3942.5115628761096
150,3972.3093898066736
151,4001.913025562196
152,4031.3304596132
153,4060.547189331564
154,4089.5635708157397
155,4118.372533959116
156,4146.981867612977
157,4175.369649589369
158,4203.543673558694
159,4231.489450683948
160,4259.199923097365
161,4286.653178914242
162,4313.842165686892
163,4340.759833744964
164,4367.384279523227
165,4393.7158873282715
166,4419.740187589718
167,4445.450141900296
168,4470.838714641884
169,4495.898872948834
170,4520.623586658635
171,4544.998399899962
172,4569.03114442009
173,4592.6999410482185
174,4615.997769701367
175,4638.925040928533
176,4661.467432852757
177,4683.618542421475
178,4705.364662253187
179,4726.706943444146
180,4747.6391103758815
181,4768.147460569366
182,4788.233149586992
183,4807.889905831265
184,4827.104030393614
185,4845.876681954523
186,4864.194163233625
187,4882.057634244659
188,4899.460827102655
189,4916.390045886904
190,4932.846451560749
191,4948.823776796905
192,4964.3083258614315
193,4979.293831206962
194,4993.788881725139
195,5007.77978090767
196,5021.267688520541
197,5034.253763837594
198,5046.73916558605
199,5058.702766852973
200,5070.16058185629
201,5081.098712877665
202,5091.509898319122
203,5101.371821343571
204,5110.691877887319
205,5119.440321533867
206,5127.6245470527065
207,5135.229663643228
208,5142.248208390538
209,5148.709859729363
210,5154.599725661423
211,5159.925198984057
212,5164.701100671354
213,5168.927394909194
214,5172.611474234856
215,5175.753302927289
216,5178.337988748371
217,5180.36549643498
218,5181.835791087932
219,5182.741409908367
220,5183.074890630671
221,5182.843628300544
222,5182.032733595157
223,5180.649602988814
224,5178.701633758184
225,5176.1887956789
226,5173.103631062483
227,5169.453539833307
228,5165.238494492712
229,5160.465896822453
230,5155.12829282454
231,5149.233086100087
232,5142.787681113732
233,5135.784626444949
234,5128.223899777545
235,5120.1203361756625
236,5111.459057895284
237,5102.262329437061
238,5092.522702282677
239,5082.247584873545
240,5071.436957426506
241,5060.090800140526
242,5048.223949744515
243,5035.836385935416
244,5022.928087910621
245,5009.513890894259
246,4995.601200907273
247,4981.182566234197
248,4966.280247339147
249,4950.886789877005
250,4935.01702295835
251,4918.663362247111
252,4901.832571682988
253,4884.523858097325
254,4866.751282705003
255,4848.499190835062
256,4829.781638572241
257,4810.605250853785
258,4790.984078027564
259,4770.924739019712
260,4750.448706264904
261,4729.5551638468105
262,4708.26557750418
263,4686.586552797624
264,4664.5246917420745
265,4642.079164402802
266,4619.256565556711
267,4596.070914667816
268,4572.521370826653
269,4548.607089455512
270,4524.334650677773
271,4499.725487701249
272,4474.771316763324
273,4449.5009923428415
274,4423.906223729552
275,4398.001001909618
276,4371.8067429593175
277,4345.32257474799
278,4318.555050451735
279,4291.518148673747
280,4264.225845220927
281,4236.677256535564
282,4208.886353232603
283,4180.867103538287
284,4152.618616730361
285,4124.154856680109
286,4095.482356941681
287,4066.6225059407357
288,4037.574405357689
289,4008.3445836586266
290,3978.95442456977
291,3949.4104537939343
292,3919.7117674704764
293,3889.8723173270796
294,3859.9060540707787
295,3829.812070768771
296,3799.604316319839
297,3769.2818821123897
298,3738.8661438229224
299,3708.3636196998837
300,3677.7808272869524
301,3647.131700075362
302,3616.4301240266973
303,3585.6825443336074
304,3554.9028338027074
305,3524.104864466897
306,3493.2876508364807
307,3462.472491591671
308,3431.665827762973
309,3400.8740993545057
310,3370.096316908644
311,3339.361203165239
312,3308.6603378114446
313,3278.0150125312803
314,3247.431660797831
315,3216.909286114803
316,3186.4691753076736
317,3156.117756662677
318,3125.868884869167
319,3095.7215558631037
320,3065.682191775926
321,3035.7794975382835
322,3005.997605637319
323,2976.365216236652
324,2946.873885249158
325,2917.5448794242993
326,2888.37717784199
327,2859.384613620826
328,2830.573588836488
329,2801.950502853978
330,2773.5291806732653
331,2745.3085878878187
