I_parameter,E_parameter,Pearson_r,Spearman_r,Mutual_Information
1.0,569.3816187236906,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,493.50588065471675,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,433.1015064484982,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,384.08629464366567,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,343.6654730925014,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,309.8680558669308,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,281.26836643559807,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,256.8123534496109,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,235.705695193853,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,217.33964906834828,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,201.24068163007402,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,187.03549407022317,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,174.42625803681935,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,163.17277061447038,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,153.07938994855837,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,143.98533237192348,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,135.75737112220702,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,128.28427598252486,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,121.4725318562074,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,115.24300847409879,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,109.52834550148062,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,104.27088140502462,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,99.42099966174028,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,94.93579819828659,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,90.77801129790521,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,86.9151302706945,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,83.31868177235202,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,79.9636320361485,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,76.82789233359064,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,73.89190632382164,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,71.13830403523954,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,68.55161036602665,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,66.11799842688036,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,63.825079950729595,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,61.66172648755542,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,59.61791628230378,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,57.684602671431534,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,55.85360058270673,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,54.117488324493685,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,52.46952233633293,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,50.903562966414135,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,49.41400966234131,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,47.99574422406952,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,46.64408098354909,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,45.354722953508094,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,44.12372313511428,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,42.94745029668895,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,41.82255863776383,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,40.74596083823575,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,39.71480406413613,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,38.726448561979815,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,37.778448524730166,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,36.86853495569629,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,35.99460029345639,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,35.154684592242454,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,34.346963078999366,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,33.569734931269345,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,32.82141313975111,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,32.10051533633915,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,31.40565548307849,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,30.735536330122542,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,30.088942561745906,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,29.46473455898792,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,28.86184271579015,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,28.279262252719157,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,27.716048478681042,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,27.171312456562625,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,26.6442170335827,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,26.13397320139692,0.17236351980929948,0.9998065173307596,0.01720305628773415
1.0,25.63983675474885,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999999,25.161105220765517,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999999,24.697115033914436,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999998,24.247238934221215,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999997,23.810883568633788,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999996,23.387487277448805,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999993,22.976518049518734,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999989,22.577471631563007,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999984,22.189869778336035,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999976,21.813258631681194,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999964,21.44720721763975,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999948,21.09130605180399,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999926,20.74516584401749,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999892,20.40841629434542,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999847,20.080704972974047,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999782,19.761696277360464,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999694,19.451070460549868,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999573,19.148522725114578,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999407,18.85376237765413,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999999184,18.566512039233086,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999998883,18.286506907529667,0.17236351980929948,0.9998065173307596,0.01720305628773415
0.9999999999998482,18.013494066826336,0.17236351980929948,0.9998065173307596,0.01720305628773415
