z_dimensionless,D_M_Mpc,H_km_per_s_per_Mpc
0.15,642.3396710905481,72.80698033866989
0.38,1530.4671371965615,83.09870891195774
0.51,1981.5145027877547,89.91202379925227
0.61,2304.9501570733673,95.58634728437937
0.7,2579.5888911364186,100.99563475642401
