scale_factor,phenomenological,kl_divergence,shannon,renyi,mutual_info,composite,kl_shannon,entanglement,fisher,horizon_entropy
0.01,1.0,0.014312205177325914,0.012286094258995944,0.004215496716542586,0.0,0.00017584110186271595,0.01322198077239423,0.00022236420077076423,1.0,3.1745962711160467e-06
0.02981981981981982,1.0,0.02185619712174705,0.05391587977055451,0.026170597405420402,0.0,0.0011783960962576535,0.031103703226521392,0.006454737792329686,1.0,8.417428756721244e-05
0.049639639639639646,1.0,0.022224358465049426,0.1171238242810304,0.07100531125696093,0.0,0.0026030018556190792,0.03735968140126043,0.036313834125268965,1.0,0.0003882038191165469
0.06945945945945946,1.0,0.019695009289385394,0.185807024526179,0.1290454212684159,0.0,0.003659471074076155,0.03561493778071789,0.09317258923196553,1.0,0.0010630832375137457
0.08927927927927928,0.9999999999999947,0.016704630835875985,0.25162084722607925,0.19018109171249126,0.0,0.004203233363522004,0.03132936457529758,0.15898165057861582,1.0,0.002255640687975367
0.1090990990990991,0.9999999999975396,0.014020090884796157,0.31172951680228084,0.2490037625646534,0.0,0.004370476157041568,0.026833347171610126,0.21618045803381708,1.0,0.0041108182867980805
0.12891891891891893,0.9999999998259024,0.0118520376230522,0.3875317492809559,0.3248447070458735,0.0,0.0045930408726051215,0.023000637598286175,0.2690470239161491,1.0,0.006770497142882655
0.14873873873873875,0.9999999959899728,0.010051509031763616,0.45701735762680645,0.39570740553566874,0.0,0.004593714097858588,0.019670393065254844,0.29115738717483514,1.0,0.010372062221539803
0.16855855855855859,0.9999999552549388,0.008583921313732546,0.5196646917115881,0.4603507064519551,0.0,0.004460760823177355,0.016888869040773177,0.2898760364217902,1.0,0.015046738177160218
0.1883783783783784,0.9999996955338094,0.007390892741893373,0.5762269209031918,0.5191775389534219,0.0,0.0042588313673869675,0.014594590047852395,0.27530081575492055,1.0,0.020917739060964644
0.2081981981981982,0.9999985432996119,0.006417145875010814,0.6274480808396833,0.572759081753347,0.0,0.004026425863743825,0.012704359520122844,0.25487895148053136,1.0,0.02809828717678259
0.22801801801801805,0.9999946231610067,0.005617262746532993,0.6740005304207445,0.621676389781122,0.0,0.0037860380706759254,0.011141668475251502,0.23295702684040315,1.0,0.03668956835506662
0.24783783783783786,0.9999836936362321,0.004955482973411093,0.716472417951018,0.6664671054793716,0.0,0.003550466868074946,0.009842887594243085,0.2117111749105639,1.0,0.04677870143351139
0.2676576576576577,0.9999575329167643,0.004403936442576262,0.7553716014546131,0.7076107791963527,0.0,0.003326608523333163,0.00875681923779786,0.19209450593765254,1.0,0.05843680758858077
0.2874774774774775,0.9999019483756559,0.0039406676386549025,0.7911341327846976,0.7455279962643467,0.0,0.003117596674899968,0.007842272634574623,0.17442448472360758,1.0,0.07171726921105623
0.3072972972972973,0.9997945167950189,0.003545014492192904,0.8241291548356295,0.7805830883455048,0.0,0.0029215497973309966,0.007059661653337979,0.1587084050978687,1.0,0.0866542672881312
0.32711711711711716,0.9996021722193972,0.003181863305834034,0.8546161460870442,0.8130765826672114,0.0,0.002719271755807664,0.006340121394621275,0.14480585482377784,1.0,0.10326168008576332
0.34693693693693695,0.9992787661692321,0.0027964905363775127,0.8825738305094267,0.8431869046688594,0.0,0.0024681093646740627,0.005575315336431694,0.13250870551150307,1.0,0.12153241409856448
0.3667567567567568,0.998762744554979,0.002356836167867506,0.9075721745489638,0.870858516362497,0.0,0.002138998925927159,0.004701463302597817,0.12163356993037229,1.0,0.14143822105834847
0.3865765765765766,0.9979751199999735,0.0018862562471072056,0.9290104908475362,0.8957747110171435,0.0,0.0017523518419892965,0.0037648683325158003,0.11208435025119437,1.0,0.16293003313075846
0.4063963963963964,0.9968179616552769,0.0014380020530240277,0.9465441044691411,0.9175206903210089,0.0,0.0013611323655044146,0.0028716414711622822,0.10381689422060021,1.0,0.18593882365942518
0.42621621621621625,0.9951736657385777,0.0010546756976321317,0.9602839754837166,0.9358254367204996,2.3642812333029343e-16,0.0010127881717682456,0.002107037245456994,0.0967720919921497,1.0,0.2103769747117186
0.4460360360360361,0.9929052949179935,0.0007526915362456147,0.970701177371257,0.9507035369390207,0.0,0.0007306385604309984,0.0015042166876182701,0.09084770425425892,1.0,0.23614010722752163
0.46585585585585587,0.9898582686779903,0.0005280442320155267,0.9784230270150331,0.9624420689877151,2.3204496615376593e-16,0.00051665063588646,0.0010555188120450563,0.08590877295579119,1.0,0.26310930675675087
0.4856756756756757,0.9858636371043383,0.000367217510180383,0.984070672782441,0.9714955659777276,0.0,0.0003613679823007024,0.0007341610595530548,0.08180960441897582,1.0,0.2911536593469628
0.5054954954954956,0.9807430688622474,0.0002549237689788516,0.9881763481736591,0.9783709812613437,0.0,0.00025190963909218713,0.0005097160444895481,0.07841079635973235,1.0,0.3201329994363975
0.5253153153153154,0.9743155300405799,0.00017771538385474527,0.9911601645947385,0.9835463901323006,0.0,0.00017614440911248647,0.0003553670502660306,0.07558809234054713,1.0,0.3499007653810162
0.5451351351351352,0.9664054341223658,0.00012500087022027507,0.993337536106813,0.9874296599012603,2.2856091704497447e-16,0.00012416805643581554,0.00024997028436249137,0.0732353615003732,1.0,0.3803068586301869
0.564954954954955,0.9568518267372313,8.893984545518123e-05,0.9949376553696383,0.990346465575231,0.0,8.8489601306116e-05,0.00017786379124265985,0.07126451661230163,1.0,0.4112004090940417
0.5847747747747748,0.9455179649107399,6.401353920629872e-05,0.9961234798635856,0.9925453216517391,2.2792168117436644e-16,6.376538943256235e-05,0.0001280188515813456,0.06960407544128015,1.0,0.4424323609384802
0.6045945945945946,0.9323004981518355,4.6526104947976634e-05,0.9970096101578578,0.9942106591770095,0.0,4.6386973756345766e-05,9.304786775640284e-05,0.06819699041331176,1.0,0.47385780856755516
0.6244144144144145,0.9171373949301305,3.4089827290345073e-05,0.9976767821395698,0.9954779304410865,0.0,3.4010629194725165e-05,6.817732501536749e-05,0.06699799955633562,1.0,0.5053380303951522
0.6442342342342343,0.9000138084111454,2.5164444066095017e-05,0.9981825629258948,0.9964469095990746,0.0,2.511870927250005e-05,5.032761935971354e-05,0.06597096014320927,1.0,0.5367421866530766
0.6640540540540542,0.8809652452303628,1.8723239399797468e-05,0.998568598347714,0.9971916429879354,0.0,1.8696438923984454e-05,3.74457766883503e-05,0.06508667690759398,1.0,0.5679486655627906
