time,exp_A,var_A
0.0,0.3965958247114696,0.8427117518214293
0.02,0.39059593982414387,0.8474348117928938
0.04,0.44791679535430773,0.7993705444395272
0.06,0.35845680929016327,0.8715087158735157
0.08,0.27481757589614203,0.9244752999785683
0.1,0.24840793554650847,0.9382934975575217
0.12,0.23652329611752093,0.9440567303937034
0.14,0.217619159510885,0.952641901413776
0.16,0.21186037648764772,0.9551151808745124
0.18,0.1843028889534541,0.9660324451234108
0.2,0.17395973817218174,0.9697380094950657
0.22,0.16414429963998428,0.9730566488956991
0.24,0.1349964810473851,0.981775950104823
0.26,0.13861976668362597,0.9807845602845771
0.28,0.1301652909437111,0.983056997033539
0.3,0.12078537193458855,0.9854108939266231
0.32,0.10756925002915774,0.9884288564481645
0.34,0.09310881571290058,0.9913307484365413
0.36,0.08898320302206003,0.9920819895799349
0.38,0.08346006526586741,0.9930344175058171
0.4,0.08379072480858168,0.9929791144360526
0.42,0.0821020333111766,0.9932592561261705
0.44,0.06438361030441225,0.9958547507241696
0.46,0.0697177895092777,0.9951394298259401
0.48,0.06679219239778311,0.9955388030346974
0.5,0.06337715506088604,0.9959833362163885
0.52,0.06960530875723336,0.9951551009928102
0.54,0.08898150342211283,0.9920822920487405
0.56,0.0812435261824975,0.993399489453434
0.58,0.08578977247222885,0.9926401149391632
0.6,0.07726794841359377,0.9940296641479542
0.62,0.07873265070421906,0.9938011697130874
0.64,0.07877554441858992,0.9937944136015547
0.66,0.06428834365580052,0.9958670088699936
0.68,0.05957540729226085,0.9964507708459615
0.7000000000000001,0.057565469587938234,0.9966862167111203
0.72,0.06969358953991842,0.9951428035770413
0.74,0.0665022521263689,0.9955774504621209
0.76,0.06416178706847192,0.9958832650801803
0.78,0.06017957067611468,0.9963784192732383
0.8,0.055590643906203246,0.996909680310094
0.8200000000000001,0.050032656667567565,0.9974967332667856
0.84,0.04148533736391341,0.9982789667838022
0.86,0.04129278301337069,0.9982949060710109
0.88,0.04104327169333791,0.9983154498487067
0.9,0.039210350130191335,0.9984625484426677
0.92,0.037077657944497494,0.9986252472813508
0.9400000000000001,0.03598124183985629,0.9987053502356616
