q_lo,q_hi,gap_lo,gap_hi,n,k,p,ci_lo,ci_hi
0.0,0.1,0.4037262403393388,4.059312283855724,1000,52,0.052,0.039872841792417534,0.06755605934098838
0.1,0.2,4.059312283855724,5.8978077746359885,1000,115,0.115,0.0966831214598715,0.13626359045164926
0.2,0.30000000000000004,5.8978077746359885,7.726970976207592,1000,130,0.13,0.11056344299877965,0.1522684619551494
0.30000000000000004,0.4,7.726970976207592,9.72630919688171,1000,147,0.147,0.12640360474203105,0.1702981856599607
0.4,0.5,9.72630919688171,11.938722756012263,1000,180,0.18,0.1574265005851786,0.20502271451011134
0.5,0.6000000000000001,11.938722756012263,14.606091142914922,1000,222,0.222,0.19733260399021366,0.24879515162381952
0.6000000000000001,0.7000000000000001,14.606091142914922,17.92218066942327,1000,279,0.279,0.2520873156578569,0.30760417351732783
0.7000000000000001,0.8,17.92218066942327,22.90672272850823,1000,335,0.335,0.3064263694110255,0.3648365071224835
0.8,0.9,22.90672272850823,32.536937743477885,1000,434,0.434,0.4035912238909395,0.4649139267224641
0.9,1.0,32.536937743477885,313.2138430100252,1000,533,0.533,0.5020099293217437,0.5637374953715546
