universe_id,E,I,topological_defects,magnetic_field_strength,string_tension,string_density,wall_energy_density,wall_probability,pbh_mass_fraction,anomaly_seed
156,0.766,0.4684834529901938,False,1.023233022081661e-09,1.0264e-06,0.09936966905980388,1.0198e-12,0.04936966905980388,1.0100483452990194e-06,42
145,0.7503134965747998,0.5185467656772139,False,1.0308607508852705e-09,1.0201253986299198e-06,0.1003709353135443,1.0150940489724401e-12,0.05037093531354428,1.0119173758826814e-06,42
101,0.7617334779381205,0.4814645648047633,False,1.0251344698785345e-09,1.0246933911752481e-06,0.09962929129609527,1.0185200433814361e-12,0.04962929129609527,1.0104931520681004e-06,42
127,0.766,0.422824966278677,False,1.009083457049762e-09,1.0264e-06,0.09845649932557354,1.0198e-12,0.04845649932557354,1.0054824966278676e-06,42
141,0.72,0.5593385462881705,False,1.0279795795253156e-09,1.008e-06,0.1011867709257634,1.006e-12,0.05118677092576342,1.009933854628817e-06,42
139,0.7493082266666596,0.5298422437372388,False,1.033827506672267e-09,1.0197232906666638e-06,0.1005968448747448,1.014792467999998e-12,0.05059684487474478,1.0128458697070558e-06,42
42,0.7347536636329083,0.5405503404056347,False,1.0297533248717433e-09,1.0139014654531633e-06,0.10081100680811271,1.0104260990898725e-12,0.050811006808112694,1.011005766767145e-06,42
15,0.766,0.5016984909777897,False,1.0335263623540172e-09,1.0264e-06,0.1000339698195558,1.0198e-12,0.050033969819555796,1.013369849097779e-06,42
126,0.72,0.5885718184511106,False,1.0368372609906866e-09,1.008e-06,0.10177143636902222,1.006e-12,0.05177143636902222,1.012857181845111e-06,42
65,0.7295658567774967,0.5418171496183913,False,1.027513527252735e-09,1.0118263427109987e-06,0.10083634299236784,1.008869757033249e-12,0.050836342992367826,1.0100948863173385e-06,42
