universe_id,seed,complexity_score,life_score,lockin_score,goldilocks_score,stability_score,stable,lock_epoch,X,I
77,1410277682,91.51942438222977,99.97913657334468,74.6,99.95827314668935,100.0,1,127,23.471402248002736,0.45285568044459634
14,133853409,91.15089984339924,98.92634976509886,75.6,97.85269953019773,100.0,1,122,23.512115102576665,0.4836716893204133
173,4223019400,91.05911209034048,99.78866813551073,73.6,99.57733627102145,100.0,1,132,23.46431735351231,0.4524620751951282
140,3492599778,90.90052366219687,98.55078549329531,75.6,97.10157098659063,100.0,1,122,23.41827157284984,0.4499039762694356
79,572313427,90.7082621694719,99.36239325420784,73.4,98.72478650841569,100.0,1,133,23.49589550132038,0.45421641674002106
163,2756663758,90.43647763453282,98.15471645179925,75.0,96.30943290359849,100.0,1,125,23.403538909518133,0.4490854949732295
21,2894150349,90.055816503591,97.78372475538649,74.6,95.56744951077299,100.0,1,127,23.554617565073844,0.4574787536152135
125,1841740779,89.67207267426913,96.70810901140368,75.6,93.41621802280736,100.0,1,122,23.34972914869465,0.468764486806461
134,2357931748,89.37944522875864,97.06916784313795,74.0,94.1383356862759,100.0,1,130,23.363159529899875,0.44925013023637883
29,3099807449,89.29318897893616,96.13978346840423,75.6,92.27956693680846,100.0,1,122,23.615767594439223,0.4608759774688458
