category,count,percentage
Unstable,0,0.0
Stable,175,100.0
"Lock-in
(from Stable)",175,100.0
"Finely-tuned
|E-I|≤0.5",175,100.0
"Coarsely-tuned
|E-I|>0.5",0,0.0
