group_name,universe_count,lockin_count,lockin_rate,ci_lower,ci_upper
Finely-Tuned,17,17,1.0,0.8156763396284354,1.0
Coarsely-Tuned,158,158,1.0,0.9762632104477463,0.9999999999999998
