q_lo,q_hi,gap_lo,gap_hi,n,k,p,ci_lo,ci_hi
0.0,0.1,0.25954387125780276,4.0051742198899625,1000,21,0.021,0.013775634089646441,0.03189053475611568
0.1,0.2,4.0051742198899625,5.728514616101227,1000,60,0.06,0.046896260125365796,0.07647141063065788
0.2,0.30000000000000004,5.728514616101227,7.583400986898978,1000,100,0.1,0.08290915646323203,0.12015236240588041
0.30000000000000004,0.4,7.583400986898978,9.45340191081567,1000,126,0.126,0.10685258457167218,0.14800993557094794
0.4,0.5,9.45340191081567,11.667714912746435,1000,124,0.124,0.10499965005666721,0.14587817768029848
0.5,0.6000000000000001,11.667714912746435,14.454168636514568,1000,195,0.195,0.17162968644915114,0.22070472168854713
0.6000000000000001,0.7000000000000001,14.454168636514568,18.27108536684358,1000,220,0.22,0.19542306230476741,0.24672000090361135
0.7000000000000001,0.8,18.27108536684358,23.647049325646368,1000,241,0.241,0.2155148589471329,0.2684674745206174
0.8,0.9,23.647049325646368,33.20789255453378,1000,359,0.359,0.3298590732294146,0.3892201121719476
0.9,1.0,33.20789255453378,256.59695646515405,1000,528,0.528,0.49701023296209834,0.5587754607170637
