label,acc,auc,cm
E,0.5616,0.6132491959722896,"{'tp': 651, 'fp': 561, 'tn': 753, 'fn': 535}"
EIX,0.6084,0.653645652860234,"{'tp': 672, 'fp': 465, 'tn': 849, 'fn': 514}"
