time,exp_A,var_A
0.0,0.1777537334121883,0.9684036102580289
0.02,0.1717579537995666,0.9704992053065862
0.04,0.16985511219118432,0.9711492408625202
0.06,0.15293921931724724,0.976609595194631
0.08,0.14150724205303783,0.9799757004465429
0.1,0.1969508600057741,0.961210358742986
0.12,0.18598598089928603,0.9654092149089306
0.14,0.1870459558109978,0.9650138104147502
0.16,0.17928549465932875,0.9678567114047598
0.18,0.16588722789584298,0.9724814276210328
0.2,0.14065674224787583,0.9802156808602146
0.22,0.13439608225723054,0.981937693073908
0.24,0.13278504190681945,0.9823681326458042
0.26,0.13695104076788428,0.9812444124325935
0.28,0.13390737954585852,0.9820688137031613
0.3,0.16150847609127206,0.973915012150675
0.32,0.16617822960960182,0.9723847960038184
0.34,0.16067711490757708,0.9741828647449773
0.36,0.15535419776278436,0.9758650732374817
0.38,0.12793154764155312,0.9836335191180369
0.4,0.12394272738487871,0.9846382003283977
0.42,0.11633083420441975,0.9864671370133038
0.44,0.10728131306436156,0.9884907198671864
0.46,0.09924610029809539,0.9901502115756207
0.48,0.09369273886923113,0.991221670683182
0.5,0.10075367296983107,0.9898486973830883
0.52,0.09509626857623082,0.9909566997028774
0.54,0.0969208303414884,0.9906063526459165
0.56,0.0898763688715642,0.9919222383184627
0.58,0.07808113143829887,0.9939033369133151
0.6,0.0714511123965118,0.994894738537301
0.62,0.06749397674818042,0.9954445631027161
0.64,0.06489088689396177,0.9957891727981153
0.66,0.062039327612948,0.9961511218293335
0.68,0.07072794279315053,0.9949975581082486
0.7000000000000001,0.0670683383473139,0.9955018379913302
0.72,0.0576396253807781,0.9966776735859636
0.74,0.05501347932974632,0.9969735170920355
0.76,0.052370154203866814,0.9972573669486632
0.78,0.049975985751017526,0.9975024008482141
0.8,0.04857906840329007,0.9976400741130684
0.8200000000000001,0.04616230604777749,0.9978690415003512
0.84,0.04342444035428028,0.9981143179799178
0.86,0.04074308262695708,0.998340001218053
0.88,0.03878133968183345,0.9984960076924823
0.9,0.03566886791333729,0.9987277318617811
0.92,0.03447093696295356,0.9988117545048961
0.9400000000000001,0.02992356858932077,0.99910458004288
0.96,0.03009521884963179,0.999094277802393
0.98,0.029832917350390453,0.999109997042365
1.0,0.02718186241088899,0.9992611463558755
1.02,0.026028544785943297,0.9993225148563262
1.04,0.024943758281720796,0.999377808922783
1.06,0.024069186508231755,0.9994206742608319
1.08,0.03174500471925584,0.9989922546753744
1.1,0.027311247170251074,0.9992540957780053
1.12,0.030134302009211605,0.9990919238424179
1.1400000000000001,0.028788210350422533,0.9991712389448197
1.16,0.026568013031632615,0.999294140683551
1.18,0.02526134603153013,0.9993618643966753
1.2,0.023519760809304707,0.9994468208514731
1.22,0.022691328426735075,0.99948510361423
1.24,0.021292537404135475,0.9995466278508938
1.26,0.02059285325341645,0.9995759343948832
1.28,0.019787784779919743,0.9996084435735038
1.3,0.018335431269685953,0.9996638119601546
1.32,0.017104981738159025,0.9997074195997372
1.34,0.014899489401423854,0.9997780052155768
