label,acc,auc,cm
E,0.5652,0.629847640996095,"{'tp': 726, 'fp': 543, 'tn': 687, 'fn': 544}"
EIX,0.5652,0.629847640996095,"{'tp': 726, 'fp': 543, 'tn': 687, 'fn': 544}"
