X,stable,iteration,iteration_name
23.703244811062852,1.0,1,exploration
20.42457538375734,1.0,1,exploration
20.345316098961735,1.0,1,exploration
21.357590614794177,1.0,1,exploration
23.616991489376417,1.0,1,exploration
24.87407929351417,1.0,1,exploration
22.359343420009488,1.0,1,exploration
21.569128114914808,1.0,1,exploration
22.489603587772905,1.0,1,exploration
22.592725771920946,1.0,1,exploration
25.6136082284852,1.0,1,exploration
22.468405060384367,1.0,1,exploration
20.972825878571232,1.0,1,exploration
21.721326106134473,1.0,1,exploration
22.220172455086487,1.0,1,exploration
22.445195676138333,1.0,1,exploration
20.362233653682054,1.0,1,exploration
20.328858418132867,1.0,1,exploration
20.847715011136767,1.0,1,exploration
20.793733826473336,1.0,1,exploration
20.71173081634764,1.0,1,exploration
22.941968394464567,1.0,1,exploration
22.62749115901429,1.0,2,exploitation
21.626719686352818,1.0,2,exploitation
21.81261798970265,1.0,2,exploitation
22.77120113234583,1.0,2,exploitation
23.939118763762977,1.0,2,exploitation
24.342089057764976,1.0,2,exploitation
23.39336783235879,1.0,2,exploitation
24.298252472306444,1.0,2,exploitation
23.685678348634248,1.0,2,exploitation
22.535157092853993,1.0,2,exploitation
21.234853001633187,1.0,2,exploitation
24.05281662290556,1.0,2,exploitation
25.999036379226233,1.0,2,exploitation
24.247629880070463,1.0,2,exploitation
23.500754728768225,1.0,2,exploitation
23.86552041849778,1.0,2,exploitation
23.43381496475308,1.0,2,exploitation
23.58942384677629,1.0,2,exploitation
25.44016758474981,1.0,2,exploitation
22.42176343870485,1.0,2,exploitation
24.306617569525983,1.0,2,exploitation
22.164296654527362,1.0,2,exploitation
23.711292059262938,1.0,2,exploitation
23.731407864653082,1.0,2,exploitation
23.194852874450334,1.0,2,exploitation
22.810826699390283,1.0,2,exploitation
21.753647579095134,1.0,2,exploitation
24.654276839820845,1.0,2,exploitation
21.785184440097304,1.0,2,exploitation
24.425627885342763,1.0,2,exploitation
18.842416722102207,1.0,3,refinement
22.46192522871042,1.0,3,refinement
22.66333471486356,1.0,3,refinement
21.38696481587925,1.0,3,refinement
19.34480581921047,1.0,3,refinement
20.843185219331865,1.0,3,refinement
19.136428079876016,1.0,3,refinement
17.99735995088113,1.0,3,refinement
18.667031702602127,1.0,3,refinement
21.244191200870755,1.0,3,refinement
19.27619472403793,1.0,3,refinement
20.406424868525967,1.0,3,refinement
20.984960619399494,1.0,3,refinement
20.214898907359668,1.0,3,refinement
21.459547441287626,1.0,3,refinement
20.331203291093676,1.0,3,refinement
18.594174145425264,1.0,3,refinement
21.524067170650596,1.0,3,refinement
21.623398472371484,1.0,3,refinement
19.655830902795305,1.0,3,refinement
22.229590978447774,1.0,3,refinement
18.008205455926543,1.0,3,refinement
23.84636772449431,1.0,3,refinement
