i_definition,stability_score,lockin_score,precision_score,planck_score,anomaly_score,bayesian_score,stability_total_score
shannon,100.0,100.0,27.584359454774308,0.3280137529384053,20.54945054945055,87.49303483751768,60.63285346562477
entanglement,100.0,100.0,20.850106076815113,0.14847844180873038,20.54945054945055,87.4923871159948,59.58677601062881
renyi,92.0,69.14285714285714,15.88844806091626,0.3954497416134184,20.54945054945055,87.49190988823017,50.320469135388116
mutual_info,89.14285714285714,65.71428571428571,23.222189733190813,0.4253892033621698,20.54945054945055,87.49261527040957,49.88369640483088
fisher_kl_fusion,92.0,74.85714285714286,3.935904814684732,0.5257364295931377,20.54945054945055,87.49076025528953,49.69644464725944
kl_shannon,77.14285714285714,50.857142857142854,14.858297977144208,0.5930143721939896,20.54945054945055,87.49181080517765,42.09116888050009
jensen_shannon,68.57142857142857,29.142857142857142,0.0,0.39360007244831907,20.54945054945055,87.49038168767152,32.9081841538183
composite,62.857142857142854,18.285714285714285,18.403503823254496,0.3246151033130307,20.54945054945055,87.49215179414861,31.769286953088976
fisher,51.42857142857144,13.142857142857142,9.236495809811151,0.5203117771612531,20.54945054945055,87.4912700826867,25.976188143126176
kl_divergence,44.0,8.571428571428571,6.399085166355823,0.0,20.54945054945055,87.49099717166898,22.303643402767594
