q_lo,q_hi,gap_lo,gap_hi,n,k,p,ci_lo,ci_hi
0.0,0.1,0.00956141660140275,3.984042390759205,1000,24,0.024,0.016180052367186296,0.03546315508705749
0.1,0.2,3.984042390759205,5.9410392466131245,1000,17,0.017,0.010640599663218201,0.027056184371235047
0.2,0.30000000000000004,5.9410392466131245,7.712838799241676,1000,57,0.057,0.04425323441955428,0.07313739772798773
0.30000000000000004,0.4,7.712838799241676,9.64720591384161,1000,96,0.096,0.0792566195200465,0.11583551453775706
0.4,0.5,9.64720591384161,11.809380820401195,1000,128,0.128,0.10870719327761863,0.15014001927065596
0.5,0.6000000000000001,11.809380820401195,14.61132775105606,1000,150,0.15,0.1292097149821607,0.1734691140283127
0.6000000000000001,0.7000000000000001,14.61132775105606,18.222352275118084,1000,177,0.177,0.15459299077028155,0.20187918571652674
0.7000000000000001,0.8,18.222352275118084,23.317379414644872,1000,238,0.238,0.21263910590157722,0.2653661889576915
0.8,0.9,23.317379414644872,33.01957001802907,1000,305,0.305,0.27725477790893766,0.3342377125397547
0.9,1.0,33.01957001802907,325.3458358516608,1000,506,0.506,0.47504829137433036,0.5369057858426329
