label,acc,auc,cm
E,0.568,0.6158651065912011,"{'tp': 533, 'fp': 547, 'tn': 887, 'fn': 533}"
EIX,0.6416,0.6862801280088758,"{'tp': 573, 'fp': 403, 'tn': 1031, 'fn': 493}"
