slice,eps,n,k,p,ci_lo,ci_hi
|E−I| > 0.001,0.001,10000,1698,0.1698,0.1625681642204262,0.17728543761989085
|E−I| ≤ 0.001,0.001,0,0,0.0,0.0,0.0
