ell,C_ell_scaled,fit_alpha,fit_R_squared,n_maps
2,525.6787105732585,0.09496769147113461,0.8839464361660772,175
3,428.22227305385263,0.09496769147113461,0.8839464361660772,175
4,416.4148536376645,0.09496769147113461,0.8839464361660772,175
5,424.25796034377754,0.09496769147113461,0.8839464361660772,175
6,382.93697929011114,0.09496769147113461,0.8839464361660772,175
7,388.1427197462779,0.09496769147113461,0.8839464361660772,175
8,379.34469007471944,0.09496769147113461,0.8839464361660772,175
9,387.17763326802077,0.09496769147113461,0.8839464361660772,175
10,355.5176683770417,0.09496769147113461,0.8839464361660772,175
11,368.0869053805807,0.09496769147113461,0.8839464361660772,175
12,349.49916470175384,0.09496769147113461,0.8839464361660772,175
13,361.2064141460619,0.09496769147113461,0.8839464361660772,175
14,354.93471388607776,0.09496769147113461,0.8839464361660772,175
15,351.3629513213364,0.09496769147113461,0.8839464361660772,175
16,361.4315979239711,0.09496769147113461,0.8839464361660772,175
17,362.29270997507075,0.09496769147113461,0.8839464361660772,175
18,354.0333714472452,0.09496769147113461,0.8839464361660772,175
19,351.49183595697855,0.09496769147113461,0.8839464361660772,175
20,355.3462341881682,0.09496769147113461,0.8839464361660772,175
21,347.86017258104266,0.09496769147113461,0.8839464361660772,175
22,350.6302212149067,0.09496769147113461,0.8839464361660772,175
23,343.32117995831305,0.09496769147113461,0.8839464361660772,175
24,346.67885373826255,0.09496769147113461,0.8839464361660772,175
25,350.1971578948071,0.09496769147113461,0.8839464361660772,175
26,345.04955509163295,0.09496769147113461,0.8839464361660772,175
27,339.8439042514319,0.09496769147113461,0.8839464361660772,175
28,342.9758938562147,0.09496769147113461,0.8839464361660772,175
29,341.7156072834591,0.09496769147113461,0.8839464361660772,175
30,338.9028781215454,0.09496769147113461,0.8839464361660772,175
31,343.7422688135842,0.09496769147113461,0.8839464361660772,175
32,342.21226152461537,0.09496769147113461,0.8839464361660772,175
33,341.92837233500643,0.09496769147113461,0.8839464361660772,175
34,347.22904910061555,0.09496769147113461,0.8839464361660772,175
35,346.5877649459769,0.09496769147113461,0.8839464361660772,175
36,339.2225874857042,0.09496769147113461,0.8839464361660772,175
37,338.5455700980773,0.09496769147113461,0.8839464361660772,175
38,337.50123339286864,0.09496769147113461,0.8839464361660772,175
39,331.3779913677504,0.09496769147113461,0.8839464361660772,175
40,337.10979824617874,0.09496769147113461,0.8839464361660772,175
41,333.14572469754256,0.09496769147113461,0.8839464361660772,175
42,343.52136394294797,0.09496769147113461,0.8839464361660772,175
43,333.40488204411713,0.09496769147113461,0.8839464361660772,175
44,334.3616242937326,0.09496769147113461,0.8839464361660772,175
45,325.7565826222887,0.09496769147113461,0.8839464361660772,175
46,333.58820910394144,0.09496769147113461,0.8839464361660772,175
47,335.56401602458294,0.09496769147113461,0.8839464361660772,175
48,328.7123452288619,0.09496769147113461,0.8839464361660772,175
49,329.43705957521354,0.09496769147113461,0.8839464361660772,175
50,330.89867024688004,0.09496769147113461,0.8839464361660772,175
51,335.28859366984756,0.09496769147113461,0.8839464361660772,175
52,325.2725659102373,0.09496769147113461,0.8839464361660772,175
53,323.2819189451311,0.09496769147113461,0.8839464361660772,175
54,324.5505199171477,0.09496769147113461,0.8839464361660772,175
55,325.2687884712754,0.09496769147113461,0.8839464361660772,175
56,326.77564198417855,0.09496769147113461,0.8839464361660772,175
57,331.3604499486437,0.09496769147113461,0.8839464361660772,175
58,327.78434041188365,0.09496769147113461,0.8839464361660772,175
59,324.97043703741224,0.09496769147113461,0.8839464361660772,175
60,324.74649771940227,0.09496769147113461,0.8839464361660772,175
61,322.2275524723808,0.09496769147113461,0.8839464361660772,175
62,322.1620696742314,0.09496769147113461,0.8839464361660772,175
63,321.8083215064787,0.09496769147113461,0.8839464361660772,175
64,315.9759195716894,0.09496769147113461,0.8839464361660772,175
65,321.9114180539003,0.09496769147113461,0.8839464361660772,175
66,326.2517002883916,0.09496769147113461,0.8839464361660772,175
67,317.8097521298447,0.09496769147113461,0.8839464361660772,175
68,321.7548668389934,0.09496769147113461,0.8839464361660772,175
69,311.7386807994728,0.09496769147113461,0.8839464361660772,175
70,318.6961468014888,0.09496769147113461,0.8839464361660772,175
71,316.72652836933673,0.09496769147113461,0.8839464361660772,175
72,321.28801351686525,0.09496769147113461,0.8839464361660772,175
73,316.7512892093248,0.09496769147113461,0.8839464361660772,175
74,308.9449045849817,0.09496769147113461,0.8839464361660772,175
75,315.06402001156744,0.09496769147113461,0.8839464361660772,175
76,317.11034227469634,0.09496769147113461,0.8839464361660772,175
77,309.9932624818635,0.09496769147113461,0.8839464361660772,175
78,309.1052100805154,0.09496769147113461,0.8839464361660772,175
79,316.6837573486998,0.09496769147113461,0.8839464361660772,175
80,306.9132705498731,0.09496769147113461,0.8839464361660772,175
81,311.73270266226876,0.09496769147113461,0.8839464361660772,175
82,308.5649960024102,0.09496769147113461,0.8839464361660772,175
83,309.35968732999714,0.09496769147113461,0.8839464361660772,175
84,306.6408513255547,0.09496769147113461,0.8839464361660772,175
85,307.9899872985118,0.09496769147113461,0.8839464361660772,175
86,301.47917642716266,0.09496769147113461,0.8839464361660772,175
87,303.45418394827453,0.09496769147113461,0.8839464361660772,175
88,305.5492402084343,0.09496769147113461,0.8839464361660772,175
89,300.5770376590113,0.09496769147113461,0.8839464361660772,175
90,298.13434133464017,0.09496769147113461,0.8839464361660772,175
91,302.25129266384056,0.09496769147113461,0.8839464361660772,175
92,300.4577982772796,0.09496769147113461,0.8839464361660772,175
93,304.14149021733573,0.09496769147113461,0.8839464361660772,175
94,298.8105088441896,0.09496769147113461,0.8839464361660772,175
95,296.35994224010506,0.09496769147113461,0.8839464361660772,175
96,298.91906303086125,0.09496769147113461,0.8839464361660772,175
97,294.5751059491891,0.09496769147113461,0.8839464361660772,175
98,294.3674658970871,0.09496769147113461,0.8839464361660772,175
99,295.03119027647415,0.09496769147113461,0.8839464361660772,175
100,293.1140104504214,0.09496769147113461,0.8839464361660772,175
101,294.05644885587566,0.09496769147113461,0.8839464361660772,175
102,291.2817947060903,0.09496769147113461,0.8839464361660772,175
103,293.40661422858767,0.09496769147113461,0.8839464361660772,175
104,292.7755452340716,0.09496769147113461,0.8839464361660772,175
105,287.3277065762534,0.09496769147113461,0.8839464361660772,175
106,286.96033786723245,0.09496769147113461,0.8839464361660772,175
107,286.0024416964196,0.09496769147113461,0.8839464361660772,175
108,285.9419661646032,0.09496769147113461,0.8839464361660772,175
109,287.0733791961968,0.09496769147113461,0.8839464361660772,175
110,284.7719980095644,0.09496769147113461,0.8839464361660772,175
111,284.5306022812183,0.09496769147113461,0.8839464361660772,175
112,287.09200200681784,0.09496769147113461,0.8839464361660772,175
113,286.10430609041975,0.09496769147113461,0.8839464361660772,175
114,280.53626491167654,0.09496769147113461,0.8839464361660772,175
115,278.89008722446874,0.09496769147113461,0.8839464361660772,175
116,277.74001315898397,0.09496769147113461,0.8839464361660772,175
117,275.0965726982829,0.09496769147113461,0.8839464361660772,175
118,278.88105105755335,0.09496769147113461,0.8839464361660772,175
119,277.8658696978146,0.09496769147113461,0.8839464361660772,175
120,274.96173833039137,0.09496769147113461,0.8839464361660772,175
121,276.0790395343752,0.09496769147113461,0.8839464361660772,175
122,271.5884179771102,0.09496769147113461,0.8839464361660772,175
123,271.98164944142667,0.09496769147113461,0.8839464361660772,175
124,270.5962942123896,0.09496769147113461,0.8839464361660772,175
125,269.96813936415145,0.09496769147113461,0.8839464361660772,175
126,268.5782619544031,0.09496769147113461,0.8839464361660772,175
127,267.33256258937433,0.09496769147113461,0.8839464361660772,175
128,268.10547587389584,0.09496769147113461,0.8839464361660772,175
129,267.48672760702607,0.09496769147113461,0.8839464361660772,175
130,263.62871150061324,0.09496769147113461,0.8839464361660772,175
131,263.99761154628266,0.09496769147113461,0.8839464361660772,175
132,264.21104070435524,0.09496769147113461,0.8839464361660772,175
133,262.99625501581266,0.09496769147113461,0.8839464361660772,175
134,265.16784957758506,0.09496769147113461,0.8839464361660772,175
135,261.9769460879874,0.09496769147113461,0.8839464361660772,175
136,261.18746869067684,0.09496769147113461,0.8839464361660772,175
137,257.66138440600395,0.09496769147113461,0.8839464361660772,175
138,257.7193674599884,0.09496769147113461,0.8839464361660772,175
139,259.1952203475695,0.09496769147113461,0.8839464361660772,175
140,258.667334756755,0.09496769147113461,0.8839464361660772,175
141,255.8981735929032,0.09496769147113461,0.8839464361660772,175
142,255.3228653194498,0.09496769147113461,0.8839464361660772,175
143,252.8488812014888,0.09496769147113461,0.8839464361660772,175
144,252.8598396416654,0.09496769147113461,0.8839464361660772,175
145,250.9524547819091,0.09496769147113461,0.8839464361660772,175
146,251.68074769656704,0.09496769147113461,0.8839464361660772,175
147,249.77185034180198,0.09496769147113461,0.8839464361660772,175
148,247.96960487558871,0.09496769147113461,0.8839464361660772,175
149,247.64938004190256,0.09496769147113461,0.8839464361660772,175
150,244.94385226157846,0.09496769147113461,0.8839464361660772,175
151,246.24411584962374,0.09496769147113461,0.8839464361660772,175
152,245.09548654081138,0.09496769147113461,0.8839464361660772,175
153,243.1402170533578,0.09496769147113461,0.8839464361660772,175
154,241.0041082835683,0.09496769147113461,0.8839464361660772,175
155,239.054954707305,0.09496769147113461,0.8839464361660772,175
156,241.4477569547386,0.09496769147113461,0.8839464361660772,175
157,238.62616319097938,0.09496769147113461,0.8839464361660772,175
158,239.45615024508592,0.09496769147113461,0.8839464361660772,175
159,236.76655715858337,0.09496769147113461,0.8839464361660772,175
160,234.41162982954856,0.09496769147113461,0.8839464361660772,175
161,230.84500640381006,0.09496769147113461,0.8839464361660772,175
162,233.76466829619363,0.09496769147113461,0.8839464361660772,175
163,232.34728641520016,0.09496769147113461,0.8839464361660772,175
164,231.4513240544589,0.09496769147113461,0.8839464361660772,175
165,231.23170362229814,0.09496769147113461,0.8839464361660772,175
166,226.5485598893272,0.09496769147113461,0.8839464361660772,175
167,229.0216819544073,0.09496769147113461,0.8839464361660772,175
168,228.58537759912215,0.09496769147113461,0.8839464361660772,175
169,225.44465422314892,0.09496769147113461,0.8839464361660772,175
170,221.8816860338808,0.09496769147113461,0.8839464361660772,175
171,224.6945022798123,0.09496769147113461,0.8839464361660772,175
172,225.7064717374727,0.09496769147113461,0.8839464361660772,175
173,223.26484257939174,0.09496769147113461,0.8839464361660772,175
174,223.41178235913657,0.09496769147113461,0.8839464361660772,175
175,220.74225596407953,0.09496769147113461,0.8839464361660772,175
176,220.6774212903183,0.09496769147113461,0.8839464361660772,175
177,219.58709516105978,0.09496769147113461,0.8839464361660772,175
178,218.82938601553406,0.09496769147113461,0.8839464361660772,175
179,214.72499922432382,0.09496769147113461,0.8839464361660772,175
180,216.03707537569872,0.09496769147113461,0.8839464361660772,175
181,214.38626165872245,0.09496769147113461,0.8839464361660772,175
182,210.5317813384642,0.09496769147113461,0.8839464361660772,175
183,212.45676143740192,0.09496769147113461,0.8839464361660772,175
184,210.10646151589356,0.09496769147113461,0.8839464361660772,175
185,208.94354946219542,0.09496769147113461,0.8839464361660772,175
186,207.18515852590588,0.09496769147113461,0.8839464361660772,175
187,206.8876276044183,0.09496769147113461,0.8839464361660772,175
188,205.57407579833585,0.09496769147113461,0.8839464361660772,175
189,203.91088749590492,0.09496769147113461,0.8839464361660772,175
190,204.34814583349055,0.09496769147113461,0.8839464361660772,175
191,203.72911499440067,0.09496769147113461,0.8839464361660772,175
192,201.4800442230483,0.09496769147113461,0.8839464361660772,175
193,203.13179672122217,0.09496769147113461,0.8839464361660772,175
194,198.62724721023147,0.09496769147113461,0.8839464361660772,175
195,199.03306742532752,0.09496769147113461,0.8839464361660772,175
