universe_id,E,I,age_Gyr,redshift,scale_factor,hubble_parameter,matter_density,dark_energy_density,total_density,epoch
156,0.766,0.0,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
156,0.766,0.0,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
156,0.766,0.0,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
156,0.766,0.0,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
156,0.766,0.0,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
145,0.766,0.0,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
145,0.766,0.0,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
145,0.766,0.0,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
145,0.766,0.0,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
145,0.766,0.0,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
101,0.72,0.0,305391684.58036417,0.0,1.0,67.35999999999999,0.3153,0.72,1.0352999999999999,transition_era
101,0.72,0.0,305391684.58036417,1.0,0.5,118.62247090463089,2.5224,0.72,3.2424,transition_era
101,0.72,0.0,305391684.58036417,3.0,0.25,303.7510302768371,20.1792,0.72,20.8992,matter_dominated
101,0.72,0.0,305391684.58036417,10.0,0.09090909090909091,1374.0664017305714,419.6643,0.72,420.38430000000005,matter_dominated
101,0.72,0.0,305391684.58036417,1100.0,0.0009082652134423251,1381729.2795895697,420809879.80530006,0.72,420809880.5253001,matter_dominated
127,0.766,0.0,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
127,0.766,0.0,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
127,0.766,0.0,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
127,0.766,0.0,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
127,0.766,0.0,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
141,0.72,0.0,305391684.58036417,0.0,1.0,67.35999999999999,0.3153,0.72,1.0352999999999999,transition_era
141,0.72,0.0,305391684.58036417,1.0,0.5,118.62247090463089,2.5224,0.72,3.2424,transition_era
141,0.72,0.0,305391684.58036417,3.0,0.25,303.7510302768371,20.1792,0.72,20.8992,matter_dominated
141,0.72,0.0,305391684.58036417,10.0,0.09090909090909091,1374.0664017305714,419.6643,0.72,420.38430000000005,matter_dominated
141,0.72,0.0,305391684.58036417,1100.0,0.0009082652134423251,1381729.2795895697,420809879.80530006,0.72,420809880.5253001,matter_dominated
139,0.766,0.0,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
139,0.766,0.0,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
139,0.766,0.0,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
139,0.766,0.0,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
139,0.766,0.0,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
42,0.766,0.0,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
42,0.766,0.0,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
42,0.766,0.0,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
42,0.766,0.0,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
42,0.766,0.0,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
15,0.7331197169787103,0.0,305391684.58036417,0.0,1.0,67.35999999999999,0.3153,0.7331197169787103,1.0484197169787102,transition_era
15,0.7331197169787103,0.0,305391684.58036417,1.0,0.5,117.86731348673639,2.5224,0.7331197169787103,3.2555197169787107,transition_era
15,0.7331197169787103,0.0,305391684.58036417,3.0,0.25,302.2776096894094,20.1792,0.7331197169787103,20.91231971697871,matter_dominated
15,0.7331197169787103,0.0,305391684.58036417,10.0,0.09090909090909091,1371.4645441159694,419.6643,0.7331197169787103,420.39741971697873,matter_dominated
15,0.7331197169787103,0.0,305391684.58036417,1100.0,0.0009082652134423251,1381703.1667530024,420809879.80530006,0.7331197169787103,420809880.5384198,matter_dominated
126,0.766,0.0,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
126,0.766,0.0,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
126,0.766,0.0,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
126,0.766,0.0,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
126,0.766,0.0,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
65,0.766,0.0,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
65,0.766,0.0,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
65,0.766,0.0,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
65,0.766,0.0,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
65,0.766,0.0,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
