universe_id,E,I,lock_epoch,scale_arcmin,lon,lat,z_score,temp_uK,category,cold_flag
87,0.7259237494040672,0.0,122,180,338.90625,26.276811557199977,-3.520424950885166,-118.46974483462199,lock_in,True
87,0.7259237494040672,0.0,122,180,154.6875,-22.993394314297802,-3.4482759999977293,-116.04178106147756,lock_in,True
87,0.7259237494040672,0.0,122,180,318.1640625,19.47122063449069,-3.3477293971748305,-112.65817664084489,lock_in,True
87,0.7259237494040672,0.0,122,180,0.703125,26.276811557199977,-2.9540293587746858,-99.4093432349031,lock_in,True
87,0.7259237494040672,0.0,122,360,155.39062499999997,-22.346587898361136,-2.8689333738295444,-85.94527215355204,lock_in,True
101,0.72,0.0,122,180,132.5390625,-2.388015463268772,-3.3464022521467087,-113.6970251237677,lock_in,True
101,0.72,0.0,122,180,4.669811320754716,50.48004426244293,-3.324177904537672,-112.94193390977286,lock_in,True
101,0.72,0.0,122,180,338.90625,14.169522214770055,-3.2546614173053547,-110.5800518127,lock_in,True
101,0.72,0.0,122,180,227.4609375,-2.388015463268772,-3.1539496770987716,-107.1582843208524,lock_in,True
101,0.72,0.0,122,180,7.734374999999999,40.62018519067267,-3.149129457302994,-106.99451323153431,lock_in,True
102,0.7485452937930516,0.0,122,180,296.015625,-15.40409369872549,-3.75478273666344,-110.28244453096676,lock_in,True
102,0.7485452937930516,0.0,122,360,296.3671875,-16.334822780685997,-3.61586524260213,-90.41622335945245,lock_in,True
102,0.7485452937930516,0.0,122,180,70.6640625,27.27961273597809,-3.476606874932823,-102.1120971191285,lock_in,True
102,0.7485452937930516,0.0,122,180,164.53125,30.345182969588258,-3.315693468898273,-97.38588391592246,lock_in,True
102,0.7485452937930516,0.0,122,180,339.609375,-30.34518296958825,-3.302438809640032,-96.99657921388386,lock_in,True
0,0.766,0.0,130,180,123.97058823529412,-52.02972741646417,-3.4409581903032938,-116.46444092151556,lock_in,True
0,0.766,0.0,130,180,319.390243902439,-43.804487962974946,-3.3726460785086663,-114.15231278333944,lock_in,True
0,0.766,0.0,130,360,320.44354838709677,-43.40685848593699,-3.0469154976849664,-91.49247062979019,lock_in,True
0,0.766,0.0,130,180,50.9765625,41.01449966573051,-2.9794148817230774,-100.84280015064496,lock_in,True
0,0.766,0.0,130,180,325.54687499999994,-27.6158819838447,-2.889863535113838,-97.81179755290258,lock_in,True
1,0.757262458286626,0.0,122,180,23.5546875,22.669609871750396,-3.7243653368719447,-115.94263714603589,lock_in,True
1,0.757262458286626,0.0,122,180,25.664062499999996,20.742379954487134,-3.6784902475105232,-114.51450867432858,lock_in,True
1,0.757262458286626,0.0,122,360,24.257812499999996,20.742379954487134,-3.4841541670585534,-94.63614296504882,lock_in,True
1,0.757262458286626,0.0,122,180,36.5625,-39.8384399769991,-3.4250831654259715,-106.62574215867014,lock_in,True
1,0.757262458286626,0.0,122,360,37.96875,-40.620185190672686,-3.121064913103893,-84.77397264266635,lock_in,True
2,0.766,0.0,164,180,20.076923076923077,66.07006450641592,-3.4042880392183075,-105.30871342781734,lock_in,True
2,0.766,0.0,164,180,256.640625,-0.8952829865701233,-3.337354009046635,-103.23816710752516,lock_in,True
2,0.766,0.0,164,180,255.5859375,-2.9855060057465295,-3.304593143734843,-102.22473807976542,lock_in,True
2,0.766,0.0,164,360,255.93749999999994,-2.0893716714986112,-3.0987403895396346,-82.62669215173227,lock_in,True
2,0.766,0.0,164,180,40.5,86.3445513130483,-3.033441936120382,-93.83691003879815,lock_in,True
3,0.72,0.0,129,180,276.9642857142857,-58.91977535280316,-4.453260377343254,-148.91437740483087,lock_in,True
3,0.72,0.0,129,180,290.1923076923077,-61.18977627871706,-4.232945254387624,-141.54716895963523,lock_in,True
3,0.72,0.0,129,360,279.44444444444446,-60.05627904951214,-4.149366844495721,-122.6781636888548,lock_in,True
3,0.72,0.0,129,360,283.61842105263156,-61.94383702315673,-4.1329075020627615,-122.19153469217608,lock_in,True
3,0.72,0.0,129,180,285.0,-64.57355318327413,-3.909845258183275,-130.74289466041364,lock_in,True
4,0.766,0.0,122,180,98.0859375,18.209956864283,-3.5563780031821888,-108.2548233749478,lock_in,True
4,0.766,0.0,122,180,217.72058823529414,-64.94808409550689,-3.372546183808738,-102.65904965879733,lock_in,True
4,0.766,0.0,122,180,259.453125,26.944358180475724,-3.152266507147595,-95.95381642407384,lock_in,True
4,0.766,0.0,122,180,126.5625,-84.14973293629666,-2.9887101697749823,-90.97522100518042,lock_in,True
4,0.766,0.0,122,180,269.0,-73.49627530761094,-2.9736144475764723,-90.5157127122601,lock_in,True
5,0.748213181796767,0.0,122,180,252.98780487804876,-59.677785226578806,-3.652284499432807,-133.91340447907646,lock_in,True
5,0.748213181796767,0.0,122,180,47.8125,48.141207794360284,-3.3899113439805264,-124.29331314995932,lock_in,True
5,0.748213181796767,0.0,122,180,139.1860465116279,74.2345483270482,-3.354412164801835,-122.9917114475328,lock_in,True
5,0.748213181796767,0.0,122,360,249.44444444444449,-60.05627904951214,-3.3189316644192,-110.52587402889135,lock_in,True
5,0.748213181796767,0.0,122,180,63.409090909090914,81.95276407098083,-3.2696964681004235,-119.88555244329888,lock_in,True
