epoch,A,I_track
0,20.165593839965616,0.0
1,20.51868731674869,0.0
2,21.404321299174896,0.0
3,23.133663110226063,0.0
4,24.07058108858055,0.0
5,23.153203176667947,0.0
6,23.224439648954327,0.0
7,24.050182501475703,0.0
8,24.98895232410802,0.0
9,26.126002406804016,0.0
10,27.986005257765168,0.0
11,29.230331331950005,0.0
12,30.057295261764718,0.0
13,30.855410428598034,0.0
14,31.736484627812235,0.0
15,30.718104466068308,0.0
16,30.894064923639874,0.0
17,30.62717009093185,0.0
18,32.26660240731641,0.0
19,34.70865612138821,0.0
20,36.501311470354814,0.0
21,37.873274025692886,0.0
22,37.729763689761455,0.0
23,37.52573357125775,0.0
24,39.85931503324616,0.0
25,39.529267754572665,0.0
26,38.96766696929861,0.0
27,38.37230032384925,0.0
28,40.595489236348925,0.0
29,40.91366858653498,0.0
30,40.91328353104745,0.0
31,42.47550815562438,0.0
32,41.59073106551175,0.0
33,42.24510957960894,0.0
34,43.242200574753305,0.0
35,43.98810419030892,0.0
36,44.10155743839978,0.0
37,44.43849858143652,0.0
38,44.826516479930724,0.0
39,45.76937745001318,0.0
40,46.15425440120361,0.0
41,47.365187938210084,0.0
42,47.2168854577142,0.0
43,47.49580555939393,0.0
44,47.488060540756656,0.0
45,47.34823911703951,0.0
46,46.29386124210755,0.0
47,46.76300041439211,0.0
48,48.01968898498167,0.0
49,48.16141202999663,0.0
50,48.30559061641949,0.0
51,47.97128988093355,0.0
52,49.56593303613922,0.0
53,50.14239946509295,0.0
54,49.254487224670804,0.0
55,51.199185027560326,0.0
56,51.779762497819654,0.0
57,52.392449823943544,0.0
58,53.584744092030775,0.0
59,53.93849805389085,0.0
60,53.45904178727683,0.0
61,55.229882369213975,0.0
62,54.715800168593304,0.0
63,56.09404880975269,0.0
64,55.50123221664587,0.0
65,55.81702219194637,0.0
66,56.811123606168984,0.0
67,56.224453335992564,0.0
68,56.28687993583854,0.0
69,56.81254624009538,0.0
70,57.05605863699738,0.0
71,58.37898304866481,0.0
72,59.02174621125753,0.0
73,59.235566347484706,0.0
74,60.43528635207313,0.0
75,60.92977622158989,0.0
76,62.37717656886597,0.0
77,62.87011344215805,0.0
78,64.24836878470025,0.0
79,64.29070099540887,0.0
80,63.785513146834354,0.0
81,63.96545501572444,0.0
82,64.16758459583242,0.0
83,64.468765246581,0.0
84,63.89226042437579,0.0
85,65.30593604218278,0.0
86,66.41340968910636,0.0
87,65.88582943677417,0.0
88,67.93968215992751,0.0
89,69.08843044751555,0.0
90,69.83840930859576,0.0
91,71.06289537362055,0.0
92,70.63938068835063,0.0
93,71.81912616517916,0.0
94,71.60156074262352,0.0
95,73.88752112547341,0.0
96,74.05347756709511,0.0
97,75.17463118803659,0.0
98,75.61890267673928,0.0
99,77.09695937046114,0.0
100,77.146466168537,0.0
101,78.00532307177616,0.0
102,78.1361716629079,0.0
103,78.65001050934166,0.0
104,77.55367866819513,0.0
105,77.56327493636987,0.0
106,78.55064828277858,0.0
107,78.48126598341463,0.0
108,78.30671156296033,0.0
109,79.70850987436107,0.0
110,79.33614848882068,0.0
111,79.17824975115181,0.0
112,79.35181702003052,0.0
113,79.97125633222154,0.0
114,82.06264362648172,0.0
115,83.21705100682478,0.0
116,82.81799306930364,0.0
117,83.74802199760931,0.0
118,83.65065710315737,0.0
119,83.81044382712098,0.0
120,84.36607314308742,0.0
121,84.99927901980233,0.0
122,85.96489469500361,0.0
123,86.5194431746286,0.0
124,88.07662034944265,0.0
125,88.45286574341189,0.0
126,88.13694934919577,0.0
127,88.12015151217255,0.0
128,89.06959032306327,0.0
129,89.73305361906147,0.0
130,90.84167128720091,0.0
131,91.82982991448534,0.0
132,93.05685550979545,0.0
133,92.55869803880417,0.0
134,93.1610324596585,0.0
135,93.53188274107788,0.0
136,93.47714481417525,0.0
137,93.86924197736232,0.0
138,95.09281265080077,0.0
139,96.03477259240105,0.0
140,95.7891924836225,0.0
141,96.73063430153687,0.0
142,97.20892385071448,0.0
143,97.1192870845959,0.0
144,96.58625147096178,0.0
145,96.71111214437259,0.0
146,98.51091424110729,0.0
147,98.73604549977779,0.0
148,98.89891260937773,0.0
149,99.55264612875244,0.0
150,99.84696581678456,0.0
151,99.39024100692482,0.0
152,100.64891800836189,0.0
153,101.90693120919462,0.0
154,100.81844727204833,0.0
155,100.99043596421303,0.0
156,102.54800038172654,0.0
157,104.31394074130687,0.0
158,104.69026658874185,0.0
159,106.8906297429951,0.0
160,108.44215528977337,0.0
161,108.15762298160027,0.0
162,107.99358581223663,0.0
163,109.34470767308436,0.0
164,109.52772652957492,0.0
165,110.37777819096804,0.0
166,110.70271495335145,0.0
167,112.37488485731846,0.0
168,112.49635511428913,0.0
169,112.6124831026275,0.0
170,111.74314101412803,0.0
171,111.0382322059353,0.0
172,113.03670200708676,0.0
173,113.1881411114008,0.0
174,113.23767380758494,0.0
175,113.8873669351649,0.0
176,113.88187010729949,0.0
177,115.30614730727233,0.0
178,116.61896485990712,0.0
179,116.16454996461925,0.0
180,116.02267175836502,0.0
181,116.80741952985052,0.0
182,118.82558501992166,0.0
183,120.11345445469304,0.0
184,119.99211813860502,0.0
185,119.06410034499001,0.0
186,119.52646021151402,0.0
187,120.16183511672227,0.0
188,119.75586395209942,0.0
189,119.2407895851201,0.0
190,118.81749284607714,0.0
191,120.57728835198878,0.0
192,121.07629741952849,0.0
193,120.35145593075568,0.0
194,120.97596237247912,0.0
195,121.64095132312832,0.0
196,122.17848964299247,0.0
197,122.5597631169218,0.0
198,123.59746587401133,0.0
199,123.89868940111843,0.0
200,125.60641924931974,0.0
201,126.52619490005169,0.0
202,129.68786503276334,0.0
203,129.4396522475654,0.0
204,131.47794660719822,0.0
205,132.0837333493462,0.0
206,132.54979723296168,0.0
207,132.18033258009885,0.0
208,132.24094552042422,0.0
209,133.99243370815154,0.0
210,134.16222000636566,0.0
211,133.7676723448201,0.0
212,134.5310593114466,0.0
213,135.56315261908483,0.0
214,136.21121772265317,0.0
215,136.3943163007223,0.0
216,136.29085126793342,0.0
217,136.30255884567427,0.0
218,136.55891217980158,0.0
219,137.85422825299284,0.0
220,136.91736299079074,0.0
221,137.84042541412578,0.0
222,138.7485291320933,0.0
223,140.4073286005052,0.0
224,140.55572239112024,0.0
225,140.8749461376368,0.0
226,140.76409967512467,0.0
227,140.71247992359906,0.0
228,141.23316718082924,0.0
229,141.09369812042533,0.0
230,140.2668671679092,0.0
231,140.6953909493566,0.0
232,141.63586346900166,0.0
233,142.40721120546402,0.0
234,141.61445904936508,0.0
235,140.52867148157057,0.0
236,140.8980107512292,0.0
237,141.8781930820184,0.0
238,141.54983583999297,0.0
239,142.82910193571865,0.0
240,142.81320276167781,0.0
241,142.25485631672282,0.0
242,143.53490195416293,0.0
243,144.46900328373678,0.0
244,143.37086559911327,0.0
245,144.03666421311138,0.0
246,143.95860983899496,0.0
247,143.54145923385815,0.0
248,144.91725359723324,0.0
249,146.86454860593162,0.0
250,146.85054919727133,0.0
251,147.44268381463846,0.0
252,149.12823762914647,0.0
253,148.78375361557917,0.0
254,147.99109476457372,0.0
255,148.70836927666247,0.0
256,148.84347924888363,0.0
257,148.62160661264892,0.0
258,148.7140583536823,0.0
259,148.44018441961566,0.0
260,148.24202167756053,0.0
261,147.82575547559236,0.0
262,147.72817739013854,0.0
263,148.4545714967318,0.0
264,149.3438070331132,0.0
265,150.06071491220587,0.0
266,150.42246835360373,0.0
267,150.47940170784682,0.0
268,151.37982996676132,0.0
269,152.01424835510542,0.0
270,153.36816296864075,0.0
271,153.70289711982724,0.0
272,154.01110214873114,0.0
273,153.53179662477746,0.0
274,154.0303545907152,0.0
275,153.25062076020498,0.0
276,153.55290205589617,0.0
277,152.9573411774457,0.0
278,153.8666028032549,0.0
279,154.49747313828752,0.0
280,154.67828400090116,0.0
281,155.59869230270652,0.0
282,154.67709007017598,0.0
283,155.86616951745265,0.0
284,155.55070865589866,0.0
285,155.2809256199309,0.0
286,156.83507076331412,0.0
287,158.15881725718756,0.0
288,159.1445783466325,0.0
289,159.58039735254349,0.0
290,161.0285831714211,0.0
291,161.1023936290189,0.0
292,161.37583918571144,0.0
293,161.24896781136525,0.0
294,161.23666953517676,0.0
295,161.13447027615794,0.0
296,161.5346012416807,0.0
297,162.9096117064273,0.0
298,162.9450100124076,0.0
299,162.8928038295127,0.0
300,161.7577920439906,0.0
301,162.02708805563796,0.0
302,162.19939135017515,0.0
303,163.0994914563708,0.0
304,163.66356242123223,0.0
305,164.2036356352798,0.0
306,163.81915093433892,0.0
307,164.1153184888758,0.0
308,164.55125163933644,0.0
309,165.28290369804563,0.0
310,166.66699623611987,0.0
311,167.0456232496405,0.0
312,167.77031204771149,0.0
313,168.9352370755823,0.0
314,169.6742670029252,0.0
315,170.44177549556312,0.0
316,171.68620960848236,0.0
317,173.4527114780993,0.0
318,172.26910069244434,0.0
319,172.4582719909217,0.0
320,172.8207348868755,0.0
321,172.75485556002096,0.0
322,174.262745845871,0.0
323,173.18015935559418,0.0
324,173.48029947232413,0.0
325,173.24571868495102,0.0
326,171.94999841325586,0.0
327,172.41899292702877,0.0
328,172.83765805262777,0.0
329,170.2472672492661,0.0
330,169.76048699050568,0.0
331,168.95026317878342,0.0
332,170.2099723924902,0.0
333,169.8713081297594,0.0
334,170.08731014988524,0.0
335,170.89025837062823,0.0
336,171.974195573473,0.0
337,173.1414077474976,0.0
338,174.52533003344362,0.0
339,175.12315490204878,0.0
340,175.3314848769149,0.0
341,175.2775721062169,0.0
342,176.25270289811823,0.0
343,175.26377881580223,0.0
344,175.48538213679012,0.0
345,176.38687157194917,0.0
346,176.47511316683287,0.0
347,176.94155880918188,0.0
348,177.0344173185306,0.0
349,177.75484876404144,0.0
350,179.6953610807641,0.0
351,178.12987678981773,0.0
352,178.0197472150788,0.0
353,178.3576758212294,0.0
354,179.61433115396778,0.0
355,179.07523962930463,0.0
356,179.31332087440427,0.0
357,181.72875908460452,0.0
358,184.24515251824627,0.0
359,185.62654376950235,0.0
360,186.98307914047578,0.0
361,188.10370840822551,0.0
362,188.88345308011293,0.0
363,188.55570567532382,0.0
364,188.57986541056442,0.0
365,188.6097214897487,0.0
366,189.39792340786306,0.0
367,190.06982747561355,0.0
368,190.9084431940203,0.0
369,190.68210767507387,0.0
370,191.5699899843769,0.0
371,192.7659072064249,0.0
372,192.2433886722509,0.0
373,192.5019199900106,0.0
374,193.44717253592654,0.0
375,193.2962988227554,0.0
376,193.1088979880737,0.0
377,194.30602380406796,0.0
378,193.77568770593714,0.0
379,195.40582573411118,0.0
380,195.15353612627504,0.0
381,196.43926581074143,0.0
382,196.47684375175203,0.0
383,195.76666802948859,0.0
384,194.91115131172708,0.0
385,193.81479485935833,0.0
386,194.36447756576996,0.0
387,195.42791393460897,0.0
388,196.25422249405295,0.0
389,196.91921010348335,0.0
390,197.97875908916254,0.0
391,199.2709824367047,0.0
392,198.9810241442963,0.0
